Lorentz_N=1;	Lorentz_N=2;	Lorentz_N=10;	Lorentz_N=100
2.51720e+00;	-7.93557e+00;	8.06339e-01;	-1.21087e+00
-1.42621e-01;	-4.64204e+00;	4.47867e-01;	2.34759e+00
3.37862e-02;	-6.35216e-01;	-1.17260e+00;	1.15466e+00
-6.51427e-02;	-5.10122e+00;	2.74180e-01;	-1.00855e-01
1.73225e-01;	1.16414e+01;	9.60228e-01;	-9.64688e-01
-3.69154e+00;	-2.30206e+00;	1.12278e-01;	-1.53423e+00
4.26284e-01;	6.61833e+00;	-1.30918e+00;	-4.73174e+00
3.56038e-01;	-9.26094e+00;	-2.87391e+00;	2.75072e+00
-2.40102e-01;	5.38127e+00;	-3.55818e-02;	3.49642e+00
1.57357e-01;	-3.68164e-01;	-1.13083e+00;	3.23618e+00
3.08473e+00;	6.24986e+01;	-3.57974e+00;	-3.37862e+00
2.15864e+00;	6.24750e-01;	-2.71970e+00;	-3.68483e-01
-4.34514e-01;	-3.50625e-01;	-9.70761e-02;	3.20717e-01
3.59146e+01;	-1.42623e-02;	-1.42764e-01;	1.67820e+00
1.14504e+00;	3.77218e-01;	-5.31410e-01;	1.86574e+01
2.35081e-01;	1.75671e+00;	-1.44258e+00;	-4.70553e-01
-4.14254e+00;	-1.37328e+00;	1.10969e+00;	-5.40922e-01
-6.64501e-02;	8.25382e-01;	-1.30899e-01;	2.83527e-01
3.84002e-01;	-7.44152e-01;	9.78771e-01;	8.88948e-01
-6.13369e-01;	4.81229e+00;	3.75609e-01;	-8.04318e+00
1.31059e+00;	-4.26021e+00;	2.17209e-01;	-1.45307e-01
4.14691e+01;	-6.92520e-01;	2.41758e-01;	1.92364e+00
2.39515e-01;	1.41949e+00;	1.29029e+00;	1.01011e+00
-5.39035e-01;	4.44157e-01;	-6.94968e-02;	2.43563e-01
-1.61880e-01;	-1.52991e+00;	-6.99490e+00;	-1.94525e-01
-9.24850e-01;	-1.59195e+00;	9.24064e-01;	3.10062e+00
-2.09364e+00;	-1.82623e+00;	9.59436e-01;	1.60158e+00
-2.92278e+00;	-3.46858e+00;	1.97782e+00;	-1.88182e+00
-5.42312e-01;	5.85754e-01;	1.45922e+00;	3.61886e-01
-1.35611e+00;	1.89490e-01;	3.11692e+00;	1.68802e+00
-4.08276e-01;	-1.00321e+00;	-3.64776e-02;	3.55268e-01
-2.02144e+00;	-7.42670e-01;	-4.01926e-01;	-7.31680e-01
1.64333e+00;	-2.06531e+01;	9.67303e-01;	-6.75686e-01
-5.84054e-01;	4.64068e-01;	9.73159e-01;	-6.02055e+00
-2.94544e+00;	-4.87420e+00;	-2.91310e-01;	2.62108e-01
-1.12911e+00;	5.48539e+01;	6.52740e-01;	-6.70747e-01
3.69990e+00;	-1.06545e-01;	-1.59450e+00;	1.19369e+00
6.24795e-01;	-4.76939e+00;	-2.49959e-01;	-1.01257e+00
1.81077e+00;	-5.28480e-01;	3.79796e-01;	-1.13022e+00
-8.03136e-01;	-2.97200e-01;	-1.12648e-01;	1.42778e+02
1.24290e-01;	-4.21552e-01;	-1.23889e+01;	-1.03565e-01
-2.07922e-01;	-2.81918e-01;	-3.09724e-01;	1.28509e+00
-2.23270e+00;	1.60240e-01;	-4.73894e+00;	3.57996e+00
-3.48992e+00;	-1.43846e+00;	-1.75623e-01;	-3.90866e-01
-4.35512e+00;	-3.35040e+00;	-1.17821e+00;	-3.40164e-01
5.50489e+00;	1.52600e-01;	3.00441e+00;	2.08540e+00
-9.68600e-02;	6.70937e-01;	4.96492e-01;	1.33392e+00
-1.05109e+00;	7.62767e-01;	4.65955e-01;	1.48644e+00
8.56265e-01;	-1.10128e+01;	5.03012e-01;	-2.64042e+00
4.30902e+00;	1.52911e+00;	-2.77243e+00;	-3.86578e-02
5.33762e+00;	2.26845e+00;	7.06122e-01;	-2.06450e+00
-8.81643e-02;	4.38364e+00;	-5.86883e-02;	-1.58993e+00
-8.74683e+00;	3.32469e+00;	1.43233e+00;	2.60311e+00
-2.29418e-03;	-4.30657e+00;	1.39973e+00;	2.44205e+00
-5.64236e+00;	-3.91563e+00;	1.99734e+00;	-1.39926e-01
-6.46575e-01;	-6.31321e-01;	4.27165e+02;	-8.20806e-01
-1.77063e+01;	5.65610e+00;	-4.84275e-01;	-8.12612e-01
-3.29417e+00;	-1.26197e+00;	1.38119e+01;	4.04911e-01
5.94394e-01;	3.57479e+00;	-1.87100e-01;	-1.91675e-01
2.64485e-03;	2.88536e+00;	7.46837e+00;	2.54071e+00
-2.21799e+00;	-1.86076e+00;	-5.27563e-01;	7.13908e-01
7.41938e-01;	-1.25991e+00;	-5.67383e-01;	1.05688e+00
-1.92947e+00;	7.98725e+00;	1.50832e-01;	2.22527e+01
-3.25830e+00;	1.81797e-01;	-4.22287e-01;	-1.71991e+00
7.03233e+00;	-2.61957e+00;	4.72275e+00;	-3.18822e+01
6.76460e-01;	-5.62307e-01;	-3.35696e-01;	1.67049e+01
-5.82011e-01;	-1.15902e+00;	2.60739e+00;	-7.59153e-01
4.27724e-01;	-6.22260e-01;	1.28850e+00;	1.01079e+00
8.82179e-01;	-4.24341e+00;	-1.13098e+00;	-2.37916e-01
1.87945e+00;	3.02276e-01;	-5.41882e-01;	9.15739e-01
3.88331e+00;	2.67032e-01;	-9.22954e-02;	-9.07609e-01
1.76912e-01;	1.55704e+00;	-2.23193e+00;	1.30410e+00
7.59143e+01;	4.06731e-01;	-1.13126e-01;	2.69735e+00
1.11145e+00;	-1.94265e+00;	-2.31506e-01;	-1.41770e-01
-9.15862e-01;	-3.40441e+00;	-1.47842e+00;	1.26109e-01
2.24617e-01;	1.03230e+00;	-2.12357e+00;	-3.62231e+00
-2.89945e+00;	-1.38596e+00;	4.42323e-01;	-7.30639e+00
-8.06688e+00;	-7.70418e-02;	2.08842e-01;	-2.81256e-01
-7.02707e-01;	5.02437e-01;	6.13869e-01;	1.11092e+00
3.62532e+00;	7.14087e-01;	2.30451e-01;	-2.31357e+00
-2.78491e+00;	-3.15110e-01;	-3.61715e+00;	-2.14171e-01
-1.35710e+01;	2.61741e+00;	2.79218e+00;	9.00424e-01
-1.25565e+00;	1.87469e+00;	-4.65869e-01;	1.75374e-01
-1.93909e-01;	2.75669e-02;	-4.11961e-02;	-2.96173e-01
-1.76934e+01;	2.61731e+00;	1.16804e-01;	-1.62859e+01
4.35596e-01;	-1.62373e+01;	-2.31069e+00;	-6.34450e+00
3.09592e-01;	-2.44755e+00;	-6.95577e-01;	-4.95232e-01
-4.52841e-01;	1.62382e-01;	-1.78950e+01;	1.21093e+00
3.13379e+00;	-1.56822e+00;	9.61974e-01;	-1.91526e-01
-3.38896e-01;	-2.31066e+00;	-9.87743e-01;	3.59934e-01
5.60425e-01;	9.06072e-01;	8.64791e-03;	1.08463e-01
4.35155e-01;	1.31246e-01;	6.21779e-01;	2.25650e-01
2.05252e+00;	-2.38923e+01;	7.12976e-01;	-5.17189e+00
-1.52371e+00;	3.07136e+00;	-2.17164e+00;	-4.95704e-01
3.91557e+00;	-2.00597e+00;	-2.22253e+00;	-4.18510e-01
1.76321e+00;	4.32658e-02;	-1.92186e+00;	1.32502e+00
-1.61818e+00;	2.13483e-01;	-1.72464e+01;	-2.40999e-01
-2.06246e-01;	9.38936e-01;	-5.27311e-02;	1.84047e+01
-6.36896e-03;	1.01729e+00;	-5.04332e-01;	1.34746e+00
-4.89047e+00;	-2.41428e-02;	1.12453e-02;	3.94629e+00
2.54586e-02;	1.57918e-01;	-4.28485e-02;	-7.24101e-01
2.61079e+00;	-3.14974e+01;	3.94196e-02;	6.12041e-01
-1.25395e+00;	2.02355e+00;	-8.45868e+01;	2.70589e+00
2.47107e-01;	3.21121e+00;	-1.18492e+00;	2.39147e-01
8.33984e-01;	-1.43097e+00;	-2.57713e-01;	1.50871e+01
-2.91886e+00;	-6.25258e+00;	-5.18924e-01;	2.12086e+01
-3.68483e+00;	7.94138e-02;	1.01028e+00;	-2.91643e-01
-8.96637e-01;	-3.67896e-01;	-2.51161e+00;	7.48523e-01
-2.19762e+00;	-2.66747e+00;	-2.29075e+00;	3.66785e-01
-2.22457e+00;	-1.64088e+00;	-1.96537e-01;	-2.28468e+00
1.86612e-01;	2.39933e-01;	1.69333e+00;	-1.31124e+00
4.68835e+00;	1.47293e+00;	-5.70499e-01;	-5.14391e-01
3.29108e+00;	2.18050e-02;	-4.59595e+00;	9.14337e-01
-3.89584e+00;	2.85090e+01;	1.32268e+00;	5.63287e-01
-2.58127e+00;	1.83777e+00;	8.90201e-01;	-7.86243e+00
-3.39804e-02;	1.31185e+00;	-1.42356e+01;	2.18563e+00
-4.21268e+00;	3.77618e+00;	-7.47355e-01;	-5.96595e-02
1.64269e-01;	1.05366e+00;	-1.64901e+00;	-3.50874e+00
4.79513e-01;	-1.31991e-01;	1.30466e+00;	-1.59813e+00
-1.95345e+01;	-7.09521e-01;	5.78225e+00;	3.67057e-01
-1.91774e-01;	1.28060e-01;	1.05701e+00;	3.16834e-01
-4.89667e-01;	-7.72765e-01;	-4.21295e+00;	-5.00662e-01
-1.03852e-01;	-2.51635e-02;	-3.06054e+00;	4.11373e-01
9.18472e-02;	3.71462e+00;	-6.71664e-01;	1.98325e+00
-4.76831e+00;	1.68610e-01;	-5.53277e-01;	-4.10767e-01
-2.78017e+00;	-3.65756e-01;	9.65425e-01;	-3.91529e-01
-5.07319e-01;	1.12237e+00;	-1.00307e-01;	-5.27189e-02
-1.97320e+00;	3.65875e+00;	-7.97196e+00;	5.14790e+00
-6.08214e-01;	7.23964e-01;	8.59136e-01;	1.78024e+00
-9.23780e+00;	3.05113e-01;	2.51512e+00;	-1.80599e+01
-2.06742e-01;	1.36555e+00;	6.45728e-01;	-3.55928e-01
-7.86113e-01;	1.44042e+00;	4.49306e-01;	1.11647e+00
4.71320e+00;	6.14015e+00;	-1.66359e-01;	1.69918e-01
-1.14152e+00;	1.20376e+00;	-1.97571e+00;	3.67680e+00
-1.37369e+00;	-6.85207e+00;	-2.13463e-01;	-1.30687e+00
3.98946e+00;	-1.47659e+00;	-8.80344e-01;	7.40057e-01
6.32148e-01;	-1.05919e+00;	-7.07875e-01;	-7.63953e-02
9.35318e-02;	3.85217e-01;	-1.91399e+00;	-9.77548e-01
1.35969e-01;	-8.52779e-01;	-6.03477e-01;	7.79345e-01
-1.59101e+00;	3.49040e+00;	1.83997e-01;	6.37562e-03
4.80817e-01;	-7.41956e-01;	-6.54751e+00;	1.55494e+01
1.63634e+00;	1.25047e+00;	-4.36144e+00;	-1.35872e+00
-7.26306e-02;	-2.79805e+00;	4.89698e+00;	-4.52095e+00
-1.73441e-02;	-4.25438e-01;	9.79915e-01;	-1.73404e+00
4.20053e-01;	7.55647e-01;	5.49504e-01;	-1.98420e+00
-3.90423e+00;	-9.29285e-01;	-2.61456e-01;	-1.92631e+01
-5.26697e+00;	-2.35773e+00;	-4.93761e-01;	5.56908e-01
-6.77172e-02;	-1.10955e+00;	8.16909e+00;	1.11252e+00
-2.37434e-02;	8.47069e-01;	-3.46021e+00;	-3.68632e+00
5.33631e+00;	-1.27105e+00;	1.21733e+01;	-1.67484e+00
3.76352e-02;	7.07509e-01;	-8.21421e-01;	-2.67663e-01
-3.86671e-01;	8.37723e-02;	-3.29247e+00;	3.96004e+00
-1.22502e+01;	-2.35828e+01;	2.89435e+00;	1.68242e+00
-3.56579e-02;	1.72374e+00;	-2.31635e+00;	6.39162e+00
-7.63592e+00;	-6.77362e+00;	8.61187e-02;	-1.02111e-01
-1.31432e-01;	-5.52880e+00;	-2.60412e+00;	-1.00984e+00
2.78957e+00;	-1.38278e-01;	2.26403e+00;	-1.22871e+00
-1.11065e-01;	-8.04731e-01;	-2.06834e-01;	-2.82172e-01
1.80404e-01;	1.47967e+00;	2.66019e+00;	-1.62407e+00
-4.57489e-01;	-1.63188e-03;	2.10849e+00;	1.69735e-01
-1.66386e+00;	-8.16741e-01;	-4.11533e-01;	-2.65328e-01
-7.95680e-01;	-3.99087e-01;	8.04877e-01;	3.56248e+00
4.52477e-01;	-2.51534e-01;	-2.87506e+00;	-1.33430e-01
7.02099e-01;	-3.93193e+00;	6.26558e-01;	-3.99992e+00
1.66358e+00;	2.87805e-01;	-2.21283e+00;	3.10482e+00
5.76008e-01;	6.73765e-01;	-6.29303e-01;	-1.10177e-01
-1.78046e+00;	2.26440e-02;	8.74730e-02;	-8.47659e-01
-4.07338e-01;	-1.41438e+00;	-3.82763e+00;	5.55176e-01
-9.65260e+00;	-2.22895e+00;	-3.24226e+00;	2.89272e+00
-2.34653e+00;	-3.02739e+00;	2.12481e+00;	-5.99073e-02
1.61741e+00;	7.34681e-01;	-1.39534e+00;	-2.62329e-01
-5.07833e-01;	4.89570e+00;	4.65781e+00;	-7.46794e-01
1.09341e+00;	1.29831e+00;	-3.33283e+00;	-4.65810e-01
1.25024e+00;	2.93587e-01;	-2.77892e+00;	-3.52001e+00
2.34737e+00;	-5.07292e-01;	2.78847e+00;	4.33898e-01
-6.15815e-01;	1.06428e-01;	-2.64597e+00;	-5.87186e-01
2.42213e+00;	-8.62794e-01;	-1.93185e+00;	-2.62759e+00
-1.53982e+00;	-2.47438e-02;	4.05526e-01;	1.32454e+00
5.07167e-01;	9.96000e-01;	-8.31796e-01;	1.85510e+00
-3.16742e-01;	8.72958e-01;	-6.20386e-01;	5.57486e+00
-1.70815e+00;	3.61097e+00;	-3.53077e+00;	1.28388e+00
1.01005e+00;	8.29270e+00;	2.46167e+00;	-1.80833e+00
-5.16081e-01;	8.31970e-01;	1.80415e-01;	6.51883e+00
7.08998e-02;	-3.98317e-01;	4.10441e-01;	-1.45477e+00
-3.26296e-01;	-3.00901e-01;	-8.93673e-02;	-6.04297e-01
-3.75097e-02;	3.55246e-01;	-1.97258e-02;	2.93642e-01
-9.62822e-01;	-8.77695e-02;	2.31860e-01;	1.88378e+00
1.41310e+00;	-5.00583e+00;	8.71497e-02;	-1.30590e+00
-2.30511e-01;	-7.51606e-01;	-6.51061e+00;	1.49999e+00
-9.31969e-01;	1.58147e-01;	7.12457e+00;	-1.88488e-01
2.08043e+00;	-4.03955e-01;	2.93601e+00;	-3.77586e+00
-1.13480e+00;	1.66887e+00;	2.00633e+00;	1.40339e+00
6.13082e-01;	-1.07523e-01;	-2.83081e+00;	-2.56138e-01
1.50585e+00;	1.51331e+01;	2.89373e+00;	-1.10368e+00
1.58337e+00;	-2.48293e+00;	-5.43927e-02;	-1.42075e+00
-3.85915e-01;	2.40528e+01;	-3.29218e-01;	6.98577e-01
-1.00537e+00;	1.97810e+00;	-5.06291e+00;	-2.25665e+01
2.70901e+00;	-1.15984e+00;	-3.11883e-01;	-3.59012e-01
-1.46701e+00;	-4.96825e+00;	1.03532e+01;	-7.67861e-01
-2.17207e+00;	4.16695e-01;	-2.39490e+00;	1.41966e+00
-6.67093e-01;	1.36844e-01;	2.87656e-01;	-1.82732e-01
-1.79943e-01;	1.18853e+02;	-6.26211e+01;	1.33279e+00
4.10542e-01;	-1.72277e+00;	2.41158e+00;	5.99405e-01
3.42153e+00;	2.34081e-01;	-2.62857e-01;	-3.70148e-01
-1.41625e+01;	-1.00908e+00;	6.29813e-01;	-4.19828e+00
6.47286e-01;	2.43685e-01;	-3.46542e+00;	4.51906e-01
1.29426e+00;	-1.16963e+00;	4.67123e-02;	-6.67161e-01
-9.80367e+01;	-6.86198e-01;	7.76603e+00;	1.94694e-01
-4.54044e-01;	4.49278e-01;	1.94657e-01;	1.72616e+00
-1.65664e-01;	-1.63010e+00;	1.28555e+00;	4.40948e-01
-2.59037e+00;	-1.36052e+00;	-5.66406e-01;	-7.86417e+00
-1.24122e+00;	3.28787e+00;	-1.26405e+00;	2.16742e+00
2.97346e+00;	-1.41433e-01;	-1.62463e+00;	-2.95367e-01
1.45472e+00;	-3.69452e+00;	-4.86360e+00;	-2.69967e+01
3.21237e+00;	1.25253e+00;	-3.28052e-01;	-1.03907e+00
7.87459e-01;	-1.18722e+00;	-8.93138e-01;	1.18135e+00
-1.77842e-01;	-5.57735e-01;	-6.97562e+00;	-7.98259e-01
6.68900e-02;	-1.86303e+00;	-7.71650e+00;	1.09148e+00
2.90301e+00;	-9.48060e-01;	-2.33673e+00;	-2.10389e-01
-1.66337e-02;	-6.29914e-01;	1.66458e-01;	-1.20287e-01
1.30776e-01;	-2.44470e+00;	7.50901e-01;	-1.75191e+00
-2.45277e+00;	1.39078e+00;	2.37525e+01;	1.36331e+00
-2.95022e+00;	1.59215e-01;	-2.17660e+01;	7.20796e+00
6.13780e+00;	2.70036e-01;	2.44394e+00;	4.50513e-01
2.17330e-02;	-1.14653e+00;	2.47347e+00;	-1.08213e-01
-9.26289e-01;	4.33069e-02;	-2.54962e-01;	5.74499e+00
8.41747e+00;	-9.74305e-01;	1.29176e+00;	8.23758e-01
2.01303e+01;	2.88381e-01;	3.36128e-01;	-2.82741e-01
8.48857e-01;	1.31657e+00;	-4.59009e-01;	6.92242e-01
-3.95326e-01;	1.20839e-01;	1.19289e-01;	-1.17614e+00
-2.99976e-02;	-5.55346e-02;	3.34282e+00;	1.01797e+00
-3.28528e-01;	-3.18197e-01;	9.30461e-01;	-6.28830e-01
3.13312e-01;	-3.19827e-02;	-6.31791e-01;	-1.70760e+00
2.55271e+00;	-1.86181e+00;	-8.23960e-02;	-7.13548e-01
4.25657e-01;	3.79739e-01;	-3.69469e-01;	2.76204e+02
-2.53845e+00;	1.68566e+01;	2.56943e-03;	-5.89981e+00
4.55940e+00;	2.74672e-01;	-2.49830e-01;	-7.17419e+00
6.69258e-01;	-6.69036e+00;	-9.61966e+00;	-2.16783e-01
-9.67671e-01;	-3.25753e+00;	2.83313e+00;	-1.41429e+00
5.26318e+00;	1.88978e-01;	9.59193e-01;	1.11633e+00
6.63233e-01;	5.03536e-01;	1.26553e+01;	1.80056e-01
1.04486e+00;	1.71075e+00;	-5.77423e-01;	-3.76537e+00
6.39311e-01;	1.72102e-01;	2.91943e+01;	1.51132e+00
4.29593e+00;	-1.60180e+00;	1.41010e+00;	4.23059e-01
-7.65485e-01;	1.83042e+00;	-6.85923e-01;	2.41532e-01
-1.06157e+00;	-1.96592e+00;	1.03822e+00;	1.32061e+00
-2.10940e+00;	-1.38201e+00;	1.08716e-01;	1.19623e+00
3.66933e-01;	5.07320e-01;	-1.78813e+00;	7.68544e-01
-2.22339e-02;	1.10419e+00;	8.09122e-01;	-4.04021e-01
1.01491e+02;	-4.61576e-02;	-3.56024e+01;	-1.18578e+00
-5.12437e-01;	-2.15482e-02;	1.18507e+00;	-1.68669e+00
5.82885e+00;	-1.05611e+00;	-4.54344e+00;	1.51055e-01
-9.35833e+00;	-4.47663e+00;	3.48696e-01;	3.85081e-01
8.01678e+00;	-2.05809e+00;	3.92375e-01;	1.23964e-01
2.63298e-01;	-1.21920e+00;	6.39726e-01;	-3.17958e+00
-5.50430e-01;	-2.19902e-01;	8.38858e-01;	-9.78953e-01
1.68691e+00;	2.96094e+00;	-1.87577e+01;	5.29305e+00
-1.27619e+00;	1.36347e-01;	-2.14776e-01;	9.07386e-02
9.57910e-01;	2.52532e+01;	3.80908e+00;	-3.89318e+00
-8.72507e-01;	1.14220e-01;	-1.12652e-01;	-9.95772e-01
3.63352e-01;	3.52678e-01;	-2.67544e+00;	5.23899e-01
5.26989e-01;	1.09538e+00;	-3.44267e-01;	-1.68786e-01
-1.23540e+01;	-9.37300e-01;	-9.76326e-01;	8.74042e-01
-5.12771e-01;	1.48421e+00;	1.08348e+00;	1.81984e+00
6.98101e-01;	-1.83208e+00;	1.44969e-01;	1.67060e-01
-3.85025e+00;	5.53177e+00;	-9.62056e-01;	1.74410e+00
-1.62609e+00;	7.13048e-01;	1.14894e+00;	-9.06539e-01
-1.23775e-01;	-5.63959e-01;	1.29913e-02;	6.84861e-01
-3.86727e-02;	-5.48766e+00;	1.13101e+00;	4.95348e-02
1.94953e-01;	1.24654e+00;	7.89686e-01;	5.73924e+00
-4.32606e+00;	1.28860e-01;	4.51523e+00;	5.35555e-01
5.61458e+01;	1.98831e-01;	9.13662e-01;	1.08802e+00
1.91446e+00;	3.59259e-01;	8.80119e-01;	-2.59403e+00
8.49657e+00;	-1.11764e+00;	2.44811e-01;	-1.72916e+00
2.06806e+00;	1.89182e+00;	3.80514e+01;	-8.70945e-01
8.97583e+00;	4.69287e+00;	-2.40855e+00;	-8.22589e+00
-5.24178e-01;	-3.90371e-01;	-8.78650e-01;	-5.85524e+00
1.00558e+00;	6.97499e-03;	8.99290e-02;	1.44901e-01
5.19217e-01;	-1.52111e+00;	1.04905e+00;	-8.15000e-01
-5.89309e-01;	-1.03634e+00;	-1.33403e-01;	-1.27262e+01
-2.03576e+00;	-7.99745e-01;	-4.80444e-01;	-6.60449e-01
1.28151e+00;	-1.36358e+00;	8.41717e-01;	3.45054e+00
-2.36781e+01;	-2.43986e-01;	1.88296e+01;	9.51312e-01
8.17751e-02;	-3.19137e-01;	2.37575e+00;	1.47072e+00
-1.32718e+00;	5.25179e-02;	2.14799e+00;	2.15384e+00
8.66721e-01;	-1.99403e+00;	-8.16967e-01;	1.97244e+00
-6.31886e-02;	2.06222e+01;	7.30618e-01;	-1.00915e-01
-1.74261e+00;	2.04180e+01;	1.55309e+00;	-2.67227e-01
-5.92661e-01;	8.37646e-01;	6.00099e-01;	1.30958e+01
1.33648e+00;	1.80921e+00;	2.81432e+00;	1.50356e-02
