Number_of_throws;	chi2
92;	8.7020000000e+01
93;	1.1578000000e+02
94;	1.1442000000e+02
95;	8.9190000000e+01
96;	1.0803000000e+02
97;	1.1013000000e+02
98;	1.0632000000e+02
99;	9.3300000000e+01
100;	9.2600000000e+01
101;	1.0094000000e+02
102;	1.2701000000e+02
103;	1.0239000000e+02
104;	9.7520000000e+01
105;	1.0911000000e+02
106;	8.4030000000e+01
107;	9.4570000000e+01
108;	7.4300000000e+01
109;	9.1770000000e+01
110;	1.1122000000e+02
111;	8.1910000000e+01
112;	9.3950000000e+01
113;	7.7470000000e+01
114;	9.9530000000e+01
115;	1.1698000000e+02
116;	1.2784000000e+02
117;	1.0344000000e+02
118;	9.2950000000e+01
119;	1.0215000000e+02
120;	9.9610000000e+01
121;	7.9520000000e+01
122;	1.2629000000e+02
123;	1.0456000000e+02
124;	9.2870000000e+01
125;	9.6740000000e+01
126;	8.1080000000e+01
127;	8.3280000000e+01
128;	9.3820000000e+01
129;	9.3530000000e+01
130;	1.0335000000e+02
131;	8.6390000000e+01
132;	1.0217000000e+02
133;	1.0086000000e+02
134;	8.3130000000e+01
135;	9.3300000000e+01
136;	1.1463000000e+02
137;	1.0921000000e+02
138;	1.1213000000e+02
139;	7.5600000000e+01
140;	1.0247000000e+02
141;	9.9200000000e+01
142;	9.6020000000e+01
143;	9.0130000000e+01
144;	1.0060000000e+02
145;	1.0290000000e+02
146;	7.8150000000e+01
147;	1.0797000000e+02
148;	9.4360000000e+01
149;	1.0522000000e+02
150;	9.4630000000e+01
151;	1.1543000000e+02
152;	1.0646000000e+02
153;	1.0886000000e+02
154;	9.6960000000e+01
155;	6.7990000000e+01
156;	1.0964000000e+02
157;	1.2489000000e+02
158;	9.8870000000e+01
159;	9.9350000000e+01
160;	1.0985000000e+02
161;	1.0107000000e+02
162;	9.8540000000e+01
163;	1.1614000000e+02
164;	1.0541000000e+02
165;	9.4870000000e+01
166;	9.8000000000e+01
167;	7.7170000000e+01
168;	1.1974000000e+02
169;	9.6230000000e+01
170;	9.2660000000e+01
171;	8.6110000000e+01
172;	7.9570000000e+01
173;	9.2140000000e+01
174;	1.1512000000e+02
175;	8.6390000000e+01
176;	9.9660000000e+01
177;	9.2240000000e+01
178;	1.4332000000e+02
179;	1.0749000000e+02
180;	1.0585000000e+02
181;	9.0220000000e+01
182;	9.8130000000e+01
183;	8.3360000000e+01
184;	9.9220000000e+01
185;	7.9180000000e+01
186;	1.0723000000e+02
187;	1.0376000000e+02
188;	9.7570000000e+01
189;	1.3023000000e+02
190;	1.2771000000e+02
191;	1.0078000000e+02
192;	8.6100000000e+01
193;	9.5270000000e+01
194;	1.0974000000e+02
195;	1.1535000000e+02
196;	1.0252000000e+02
197;	1.1014000000e+02
198;	1.0057000000e+02
199;	1.1180000000e+02
200;	1.2563000000e+02
201;	1.0091000000e+02
202;	8.4280000000e+01
203;	7.9590000000e+01
204;	9.4880000000e+01
205;	7.2250000000e+01
206;	7.9910000000e+01
207;	1.1300000000e+02
208;	1.4287000000e+02
209;	8.4640000000e+01
210;	1.0970000000e+02
211;	1.0069000000e+02
212;	1.1543000000e+02
213;	1.0082000000e+02
214;	1.0940000000e+02
215;	8.9440000000e+01
216;	1.0512000000e+02
217;	1.0285000000e+02
218;	8.1320000000e+01
219;	8.9780000000e+01
220;	9.2720000000e+01
221;	7.5810000000e+01
222;	9.3930000000e+01
223;	1.1589000000e+02
224;	1.0793000000e+02
225;	1.0372000000e+02
226;	7.4300000000e+01
227;	1.0244000000e+02
228;	8.2650000000e+01
229;	1.0022000000e+02
230;	7.9350000000e+01
231;	9.7320000000e+01
232;	7.5990000000e+01
233;	9.5300000000e+01
234;	8.5010000000e+01
235;	9.1370000000e+01
236;	8.6860000000e+01
237;	9.3010000000e+01
238;	8.5180000000e+01
239;	9.0820000000e+01
240;	9.2970000000e+01
241;	8.9750000000e+01
242;	1.0202000000e+02
243;	8.7120000000e+01
244;	1.1605000000e+02
245;	8.6450000000e+01
246;	8.0540000000e+01
247;	1.2465000000e+02
248;	8.5130000000e+01
249;	1.1195000000e+02
250;	9.1360000000e+01
251;	8.9980000000e+01
252;	1.1265000000e+02
253;	1.1198000000e+02
254;	9.7050000000e+01
255;	8.0220000000e+01
256;	8.7460000000e+01
257;	6.3960000000e+01
258;	1.1239000000e+02
259;	1.0219000000e+02
260;	9.2910000000e+01
261;	9.6740000000e+01
262;	1.0267000000e+02
263;	1.1835000000e+02
264;	9.1030000000e+01
265;	8.8820000000e+01
266;	8.7750000000e+01
267;	1.0852000000e+02
268;	8.9710000000e+01
269;	9.7900000000e+01
270;	1.2292000000e+02
271;	1.2030000000e+02
272;	1.1521000000e+02
273;	1.0210000000e+02
274;	1.0017000000e+02
275;	1.0109000000e+02
276;	7.3560000000e+01
277;	8.9600000000e+01
278;	1.2643000000e+02
279;	1.0316000000e+02
280;	1.0868000000e+02
281;	9.7850000000e+01
282;	1.0094000000e+02
283;	1.2613000000e+02
284;	1.0006000000e+02
285;	8.6730000000e+01
286;	9.8010000000e+01
287;	8.4030000000e+01
288;	1.0579000000e+02
289;	1.1314000000e+02
290;	8.6620000000e+01
291;	8.4880000000e+01
292;	8.5670000000e+01
293;	9.7930000000e+01
294;	9.3880000000e+01
295;	9.9500000000e+01
296;	1.0090000000e+02
297;	8.8310000000e+01
298;	1.0678000000e+02
299;	8.3170000000e+01
300;	1.1082000000e+02
301;	7.3300000000e+01
302;	9.5430000000e+01
303;	9.2840000000e+01
304;	8.9890000000e+01
305;	1.2007000000e+02
306;	8.8540000000e+01
307;	9.5250000000e+01
308;	9.2310000000e+01
309;	8.6980000000e+01
310;	7.0450000000e+01
311;	9.0210000000e+01
312;	9.6350000000e+01
313;	9.2840000000e+01
314;	9.7330000000e+01
315;	6.9920000000e+01
316;	1.1065000000e+02
317;	9.5000000000e+01
318;	9.3630000000e+01
319;	8.4730000000e+01
320;	9.0430000000e+01
321;	1.2626000000e+02
322;	8.7510000000e+01
323;	8.6970000000e+01
324;	1.1425000000e+02
325;	7.8270000000e+01
326;	1.1906000000e+02
327;	8.4620000000e+01
328;	9.9460000000e+01
329;	9.0250000000e+01
330;	9.5320000000e+01
331;	9.1310000000e+01
332;	1.0214000000e+02
333;	1.1496000000e+02
334;	1.0704000000e+02
335;	1.0305000000e+02
336;	9.6780000000e+01
337;	1.1401000000e+02
338;	8.4380000000e+01
339;	1.1654000000e+02
340;	9.9250000000e+01
341;	7.9030000000e+01
342;	8.9940000000e+01
343;	1.1202000000e+02
344;	8.9870000000e+01
345;	1.0550000000e+02
346;	1.1918000000e+02
347;	8.2040000000e+01
348;	8.7070000000e+01
349;	8.3480000000e+01
350;	9.4830000000e+01
351;	8.1740000000e+01
352;	9.4630000000e+01
353;	9.0640000000e+01
354;	1.1576000000e+02
355;	1.0259000000e+02
356;	9.4270000000e+01
357;	1.1593000000e+02
358;	8.9280000000e+01
359;	7.7170000000e+01
360;	1.0104000000e+02
361;	1.0498000000e+02
362;	9.1410000000e+01
363;	8.7410000000e+01
364;	9.8140000000e+01
365;	1.1361000000e+02
366;	8.9440000000e+01
367;	8.6370000000e+01
368;	9.8600000000e+01
369;	8.0260000000e+01
370;	9.2150000000e+01
371;	1.0327000000e+02
372;	1.0058000000e+02
373;	1.0434000000e+02
374;	9.8610000000e+01
375;	1.0001000000e+02
376;	9.3520000000e+01
377;	1.4013000000e+02
378;	7.6470000000e+01
379;	1.0450000000e+02
380;	1.0875000000e+02
381;	8.8840000000e+01
382;	1.0670000000e+02
383;	9.9470000000e+01
384;	7.7520000000e+01
385;	1.0224000000e+02
386;	1.1531000000e+02
387;	1.1943000000e+02
388;	9.1530000000e+01
389;	1.0872000000e+02
390;	1.0013000000e+02
391;	7.7990000000e+01
392;	1.1286000000e+02
393;	1.0919000000e+02
394;	1.0561000000e+02
395;	7.6000000000e+01
396;	1.0346000000e+02
397;	9.8650000000e+01
398;	1.0461000000e+02
399;	1.1940000000e+02
400;	8.4030000000e+01
401;	9.5680000000e+01
402;	8.9550000000e+01
403;	8.8880000000e+01
404;	9.9410000000e+01
405;	8.8620000000e+01
406;	7.1560000000e+01
407;	9.1310000000e+01
408;	9.9490000000e+01
409;	9.8320000000e+01
410;	8.8310000000e+01
411;	1.1275000000e+02
412;	9.3180000000e+01
413;	6.8160000000e+01
414;	9.8350000000e+01
415;	8.5620000000e+01
416;	8.5730000000e+01
417;	1.1908000000e+02
418;	1.2815000000e+02
419;	7.8170000000e+01
420;	7.2430000000e+01
421;	1.0453000000e+02
422;	9.6840000000e+01
423;	1.1792000000e+02
424;	8.5810000000e+01
425;	1.1481000000e+02
426;	1.0147000000e+02
427;	1.0800000000e+02
428;	1.1340000000e+02
429;	1.0416000000e+02
430;	1.1829000000e+02
431;	8.8970000000e+01
432;	1.0277000000e+02
433;	8.8300000000e+01
434;	9.9360000000e+01
435;	7.7410000000e+01
436;	1.1035000000e+02
437;	9.2110000000e+01
438;	1.1220000000e+02
439;	9.0310000000e+01
440;	1.1561000000e+02
441;	1.2455000000e+02
442;	9.7320000000e+01
443;	9.5430000000e+01
444;	9.5290000000e+01
445;	7.3510000000e+01
446;	8.6860000000e+01
447;	1.0921000000e+02
448;	8.6050000000e+01
449;	8.6710000000e+01
450;	9.9280000000e+01
451;	1.0729000000e+02
452;	8.5950000000e+01
453;	1.1051000000e+02
454;	8.1440000000e+01
455;	8.7770000000e+01
456;	7.5960000000e+01
457;	9.3550000000e+01
458;	1.0793000000e+02
459;	8.8250000000e+01
460;	1.1077000000e+02
461;	1.0259000000e+02
462;	9.1900000000e+01
463;	1.1188000000e+02
464;	9.2500000000e+01
465;	1.0139000000e+02
466;	8.1910000000e+01
467;	1.4859000000e+02
468;	9.5450000000e+01
469;	9.5000000000e+01
470;	9.2050000000e+01
471;	8.6310000000e+01
472;	9.7670000000e+01
473;	1.0673000000e+02
474;	6.3240000000e+01
475;	1.2318000000e+02
476;	1.0831000000e+02
477;	1.1335000000e+02
478;	1.0851000000e+02
479;	1.2634000000e+02
480;	9.8490000000e+01
481;	1.0097000000e+02
482;	9.5780000000e+01
483;	9.3070000000e+01
484;	1.0470000000e+02
485;	7.7320000000e+01
486;	9.3790000000e+01
487;	9.1830000000e+01
488;	9.4900000000e+01
489;	9.6260000000e+01
490;	1.1211000000e+02
491;	9.9670000000e+01
492;	9.2020000000e+01
493;	7.8620000000e+01
494;	7.1250000000e+01
495;	8.6470000000e+01
496;	1.2224000000e+02
497;	1.1792000000e+02
498;	7.6080000000e+01
499;	8.9140000000e+01
500;	1.0004000000e+02
501;	1.1392000000e+02
502;	9.5560000000e+01
503;	9.0540000000e+01
504;	1.0652000000e+02
505;	1.0621000000e+02
506;	9.4970000000e+01
507;	1.0447000000e+02
508;	8.9550000000e+01
509;	7.7910000000e+01
510;	8.4750000000e+01
511;	1.0307000000e+02
512;	8.1200000000e+01
513;	1.1085000000e+02
514;	9.9400000000e+01
515;	9.0080000000e+01
516;	8.5980000000e+01
517;	1.1621000000e+02
518;	1.0045000000e+02
519;	1.0090000000e+02
520;	1.3560000000e+02
521;	8.8450000000e+01
522;	8.9680000000e+01
523;	8.6440000000e+01
524;	7.4810000000e+01
525;	1.3477000000e+02
526;	8.7020000000e+01
527;	7.4860000000e+01
528;	1.1786000000e+02
529;	9.8190000000e+01
530;	1.1030000000e+02
531;	1.0592000000e+02
532;	9.9140000000e+01
533;	1.0873000000e+02
534;	1.1581000000e+02
535;	1.0287000000e+02
536;	1.0991000000e+02
537;	1.3801000000e+02
538;	7.6710000000e+01
539;	8.7290000000e+01
540;	9.3290000000e+01
541;	8.3520000000e+01
542;	9.5870000000e+01
543;	8.8250000000e+01
544;	1.1183000000e+02
545;	1.0315000000e+02
546;	1.1745000000e+02
547;	9.4120000000e+01
548;	8.3170000000e+01
549;	1.0754000000e+02
550;	1.2227000000e+02
551;	9.9070000000e+01
552;	9.1250000000e+01
553;	6.3990000000e+01
554;	1.1686000000e+02
555;	9.3570000000e+01
556;	7.1110000000e+01
557;	9.8170000000e+01
558;	1.0742000000e+02
559;	8.8850000000e+01
560;	1.1567000000e+02
561;	9.6920000000e+01
562;	1.2364000000e+02
563;	1.1244000000e+02
564;	1.3781000000e+02
565;	1.1218000000e+02
566;	9.8170000000e+01
567;	9.7790000000e+01
568;	1.0200000000e+02
569;	9.7740000000e+01
570;	9.2470000000e+01
571;	1.3531000000e+02
572;	8.9250000000e+01
573;	1.2489000000e+02
574;	9.2360000000e+01
575;	9.5130000000e+01
576;	8.8720000000e+01
577;	1.0257000000e+02
578;	9.0630000000e+01
579;	1.1168000000e+02
580;	9.0280000000e+01
581;	9.8750000000e+01
582;	7.7330000000e+01
583;	1.3665000000e+02
584;	1.2476000000e+02
585;	9.4200000000e+01
586;	9.5190000000e+01
587;	8.5360000000e+01
588;	8.8470000000e+01
589;	1.0557000000e+02
590;	9.1330000000e+01
591;	1.0126000000e+02
592;	1.0082000000e+02
593;	8.9680000000e+01
594;	9.5830000000e+01
595;	9.4680000000e+01
596;	1.3050000000e+02
597;	8.9770000000e+01
598;	9.4350000000e+01
599;	1.2346000000e+02
600;	1.0611000000e+02
601;	9.0730000000e+01
602;	1.0719000000e+02
603;	1.1107000000e+02
604;	1.0167000000e+02
605;	1.2265000000e+02
606;	8.3010000000e+01
607;	1.1791000000e+02
608;	1.0098000000e+02
609;	1.0010000000e+02
610;	8.6530000000e+01
611;	9.5930000000e+01
612;	9.3480000000e+01
613;	9.4570000000e+01
614;	9.6800000000e+01
615;	9.3180000000e+01
616;	9.1900000000e+01
617;	1.0875000000e+02
618;	1.0524000000e+02
619;	9.2650000000e+01
620;	1.0507000000e+02
621;	9.3080000000e+01
622;	8.8460000000e+01
623;	9.5980000000e+01
624;	9.2800000000e+01
625;	1.0906000000e+02
626;	9.6860000000e+01
627;	1.0956000000e+02
628;	1.1468000000e+02
629;	1.0656000000e+02
630;	9.2790000000e+01
631;	1.0433000000e+02
632;	1.1292000000e+02
633;	1.2204000000e+02
634;	1.0456000000e+02
635;	1.0220000000e+02
636;	1.0241000000e+02
637;	1.0038000000e+02
638;	8.2280000000e+01
639;	1.0591000000e+02
640;	1.0670000000e+02
641;	8.0840000000e+01
642;	1.0159000000e+02
643;	8.9140000000e+01
644;	9.5680000000e+01
645;	1.0022000000e+02
646;	7.9060000000e+01
647;	9.2170000000e+01
648;	1.1570000000e+02
649;	8.0530000000e+01
650;	1.0680000000e+02
651;	7.6650000000e+01
652;	7.9280000000e+01
653;	8.0130000000e+01
654;	1.0357000000e+02
655;	1.0122000000e+02
656;	1.0017000000e+02
657;	9.7660000000e+01
658;	1.0437000000e+02
659;	7.5190000000e+01
660;	1.0783000000e+02
661;	7.8220000000e+01
662;	9.1570000000e+01
663;	1.1805000000e+02
664;	8.1580000000e+01
665;	8.0830000000e+01
666;	8.4980000000e+01
667;	1.0859000000e+02
668;	9.7620000000e+01
669;	8.2250000000e+01
670;	1.0689000000e+02
671;	7.4640000000e+01
672;	1.2057000000e+02
673;	9.2640000000e+01
674;	1.0579000000e+02
675;	1.1012000000e+02
676;	1.0045000000e+02
677;	1.0692000000e+02
678;	9.2220000000e+01
679;	9.3290000000e+01
680;	8.8720000000e+01
681;	1.0332000000e+02
682;	9.6540000000e+01
683;	1.2214000000e+02
684;	7.5260000000e+01
685;	1.2438000000e+02
686;	1.0489000000e+02
687;	8.4140000000e+01
688;	1.3106000000e+02
689;	8.2450000000e+01
690;	1.1229000000e+02
691;	7.7020000000e+01
692;	1.0123000000e+02
693;	9.6690000000e+01
694;	6.9240000000e+01
695;	9.5760000000e+01
696;	9.8290000000e+01
697;	1.0093000000e+02
698;	9.4260000000e+01
699;	9.6880000000e+01
700;	1.0070000000e+02
701;	1.0041000000e+02
702;	1.3039000000e+02
703;	9.3080000000e+01
704;	9.6230000000e+01
705;	1.0564000000e+02
706;	9.5680000000e+01
707;	9.9590000000e+01
708;	1.0249000000e+02
709;	9.3130000000e+01
710;	8.7490000000e+01
711;	1.0215000000e+02
712;	9.5240000000e+01
713;	9.5310000000e+01
714;	7.6720000000e+01
715;	9.3690000000e+01
716;	7.9060000000e+01
717;	1.0061000000e+02
718;	1.0107000000e+02
719;	9.7380000000e+01
720;	9.9290000000e+01
721;	1.0484000000e+02
722;	1.2821000000e+02
723;	9.8730000000e+01
724;	1.0691000000e+02
725;	1.2809000000e+02
726;	8.9780000000e+01
727;	7.9360000000e+01
728;	8.9620000000e+01
729;	8.7240000000e+01
730;	8.5260000000e+01
731;	9.7770000000e+01
732;	1.1665000000e+02
733;	1.1945000000e+02
734;	7.8830000000e+01
735;	1.0213000000e+02
736;	7.2130000000e+01
737;	9.4290000000e+01
738;	8.7670000000e+01
739;	1.1978000000e+02
740;	8.5440000000e+01
741;	1.0229000000e+02
742;	7.5580000000e+01
743;	1.0149000000e+02
744;	9.7640000000e+01
745;	1.0425000000e+02
746;	1.3587000000e+02
747;	9.0180000000e+01
748;	9.8160000000e+01
749;	1.0950000000e+02
750;	1.0000000000e+02
751;	7.4900000000e+01
752;	9.6610000000e+01
753;	1.1588000000e+02
754;	9.2900000000e+01
755;	8.7450000000e+01
756;	1.0289000000e+02
757;	8.5970000000e+01
758;	9.3840000000e+01
759;	1.0076000000e+02
760;	9.7480000000e+01
761;	9.3490000000e+01
762;	1.1099000000e+02
763;	7.1120000000e+01
764;	9.9150000000e+01
765;	1.3010000000e+02
766;	9.7350000000e+01
767;	9.9680000000e+01
768;	8.8270000000e+01
769;	1.2120000000e+02
770;	7.7580000000e+01
771;	1.0526000000e+02
772;	8.3250000000e+01
773;	1.0938000000e+02
774;	1.1036000000e+02
775;	1.1242000000e+02
776;	1.0714000000e+02
777;	1.1518000000e+02
778;	1.5059000000e+02
779;	1.0202000000e+02
780;	8.1190000000e+01
781;	9.7640000000e+01
782;	1.0097000000e+02
783;	1.0113000000e+02
784;	9.4680000000e+01
785;	9.4420000000e+01
786;	9.2920000000e+01
787;	9.6080000000e+01
788;	9.1210000000e+01
789;	8.9890000000e+01
790;	9.2990000000e+01
791;	7.8940000000e+01
792;	9.3600000000e+01
793;	8.7050000000e+01
794;	7.8150000000e+01
795;	1.0071000000e+02
796;	7.8010000000e+01
797;	1.1936000000e+02
798;	9.2010000000e+01
799;	9.5780000000e+01
800;	1.0243000000e+02
801;	1.0066000000e+02
802;	9.5090000000e+01
803;	1.0023000000e+02
804;	8.5810000000e+01
805;	9.5940000000e+01
806;	1.1389000000e+02
807;	9.8930000000e+01
808;	1.0136000000e+02
809;	1.0725000000e+02
810;	9.9310000000e+01
811;	1.1545000000e+02
812;	1.0529000000e+02
813;	1.0360000000e+02
814;	8.0810000000e+01
815;	9.5120000000e+01
816;	1.0820000000e+02
817;	1.1783000000e+02
818;	1.2220000000e+02
819;	9.7600000000e+01
820;	9.3700000000e+01
821;	1.1304000000e+02
822;	1.0692000000e+02
823;	1.0260000000e+02
824;	8.6390000000e+01
825;	1.2832000000e+02
826;	1.1056000000e+02
827;	1.1698000000e+02
828;	8.2210000000e+01
829;	7.9380000000e+01
830;	9.1550000000e+01
831;	1.0474000000e+02
832;	1.3515000000e+02
833;	7.8700000000e+01
834;	7.3620000000e+01
835;	1.1434000000e+02
836;	1.0631000000e+02
837;	9.1200000000e+01
838;	1.0819000000e+02
839;	1.0603000000e+02
840;	1.2860000000e+02
841;	9.7290000000e+01
842;	1.1041000000e+02
843;	9.8940000000e+01
844;	9.0020000000e+01
845;	8.0410000000e+01
846;	9.2730000000e+01
847;	9.2660000000e+01
848;	9.1630000000e+01
849;	9.5060000000e+01
850;	7.8530000000e+01
851;	8.8640000000e+01
852;	8.0390000000e+01
853;	1.1205000000e+02
854;	9.5570000000e+01
855;	1.0637000000e+02
856;	1.1835000000e+02
857;	9.7160000000e+01
858;	9.2310000000e+01
859;	8.8390000000e+01
860;	8.0700000000e+01
861;	8.8460000000e+01
862;	1.2911000000e+02
863;	9.5070000000e+01
864;	1.0590000000e+02
865;	9.3210000000e+01
866;	9.9870000000e+01
867;	8.8740000000e+01
868;	1.0094000000e+02
869;	1.0324000000e+02
870;	1.0897000000e+02
871;	1.1514000000e+02
872;	1.0508000000e+02
873;	8.9090000000e+01
874;	1.1927000000e+02
875;	1.0594000000e+02
876;	8.8890000000e+01
877;	8.3560000000e+01
878;	1.1145000000e+02
879;	9.7720000000e+01
880;	1.0064000000e+02
881;	8.6350000000e+01
882;	1.2535000000e+02
883;	8.8850000000e+01
884;	1.0063000000e+02
885;	7.3980000000e+01
886;	9.4790000000e+01
887;	7.8090000000e+01
888;	7.4740000000e+01
889;	9.1530000000e+01
890;	7.9820000000e+01
891;	1.0530000000e+02
892;	9.2840000000e+01
893;	9.9790000000e+01
894;	9.9180000000e+01
895;	1.2110000000e+02
896;	1.3042000000e+02
897;	1.0919000000e+02
898;	1.1785000000e+02
899;	9.0310000000e+01
900;	7.1580000000e+01
901;	1.0277000000e+02
902;	1.4064000000e+02
903;	8.2640000000e+01
904;	1.2764000000e+02
905;	9.3540000000e+01
906;	1.0578000000e+02
907;	8.3610000000e+01
908;	9.7360000000e+01
909;	1.0127000000e+02
910;	1.2786000000e+02
911;	1.0957000000e+02
912;	7.6370000000e+01
913;	9.2050000000e+01
914;	8.4360000000e+01
915;	9.2660000000e+01
916;	9.1560000000e+01
917;	8.0960000000e+01
918;	1.0233000000e+02
919;	1.2084000000e+02
920;	1.1054000000e+02
921;	1.1800000000e+02
922;	1.0601000000e+02
923;	9.1600000000e+01
924;	1.0408000000e+02
925;	9.3600000000e+01
926;	1.0635000000e+02
927;	9.9470000000e+01
928;	9.7420000000e+01
929;	1.2392000000e+02
930;	6.4980000000e+01
931;	1.0652000000e+02
932;	1.1238000000e+02
933;	1.0907000000e+02
934;	8.8080000000e+01
935;	9.1040000000e+01
936;	9.1310000000e+01
937;	9.4510000000e+01
938;	9.2250000000e+01
939;	7.6940000000e+01
940;	1.0057000000e+02
941;	9.7980000000e+01
942;	9.0020000000e+01
943;	1.2837000000e+02
944;	1.0565000000e+02
945;	8.6850000000e+01
946;	1.1402000000e+02
947;	8.8880000000e+01
948;	1.0491000000e+02
949;	9.4720000000e+01
950;	9.2110000000e+01
951;	9.6400000000e+01
952;	1.1587000000e+02
953;	8.8500000000e+01
954;	9.9670000000e+01
955;	9.5830000000e+01
956;	1.1806000000e+02
957;	1.0282000000e+02
958;	1.0273000000e+02
959;	9.2350000000e+01
960;	1.1879000000e+02
961;	1.0045000000e+02
962;	1.1455000000e+02
963;	9.1540000000e+01
964;	1.0491000000e+02
965;	1.1045000000e+02
966;	1.0675000000e+02
967;	1.0223000000e+02
968;	9.0630000000e+01
969;	7.4620000000e+01
970;	1.0415000000e+02
971;	1.0822000000e+02
972;	9.4000000000e+01
973;	9.8450000000e+01
974;	1.0620000000e+02
975;	1.1714000000e+02
976;	9.0820000000e+01
977;	1.1313000000e+02
978;	1.1515000000e+02
979;	7.4100000000e+01
980;	7.5270000000e+01
981;	8.2650000000e+01
982;	1.0986000000e+02
983;	9.3160000000e+01
984;	1.0220000000e+02
985;	1.1299000000e+02
986;	8.7320000000e+01
987;	1.0028000000e+02
988;	7.5640000000e+01
989;	1.0185000000e+02
990;	9.0370000000e+01
991;	9.3370000000e+01
992;	1.1468000000e+02
993;	1.2258000000e+02
994;	1.1869000000e+02
995;	1.0829000000e+02
996;	1.1170000000e+02
997;	1.1450000000e+02
998;	9.5530000000e+01
999;	9.1470000000e+01
1000;	9.9820000000e+01
1001;	8.3490000000e+01
1002;	1.0633000000e+02
1003;	8.9080000000e+01
1004;	9.6490000000e+01
1005;	1.0375000000e+02
1006;	8.4620000000e+01
1007;	1.1534000000e+02
1008;	9.7040000000e+01
1009;	1.1583000000e+02
1010;	1.0321000000e+02
1011;	1.0210000000e+02
1012;	9.8960000000e+01
1013;	1.0686000000e+02
1014;	9.9350000000e+01
1015;	1.0390000000e+02
1016;	9.3050000000e+01
1017;	8.9610000000e+01
1018;	9.9480000000e+01
1019;	1.0069000000e+02
1020;	1.1098000000e+02
1021;	8.1400000000e+01
1022;	1.0226000000e+02
1023;	6.8840000000e+01
1024;	9.0900000000e+01
1025;	9.4300000000e+01
1026;	7.6300000000e+01
1027;	8.6330000000e+01
1028;	9.8640000000e+01
1029;	9.4990000000e+01
1030;	9.2690000000e+01
1031;	1.1005000000e+02
1032;	9.3480000000e+01
1033;	1.1549000000e+02
1034;	1.1002000000e+02
1035;	1.0791000000e+02
1036;	9.2940000000e+01
1037;	1.4329000000e+02
1038;	1.1345000000e+02
1039;	8.8250000000e+01
1040;	1.1324000000e+02
1041;	8.5780000000e+01
1042;	9.5450000000e+01
1043;	7.7980000000e+01
1044;	1.2430000000e+02
1045;	9.8290000000e+01
1046;	1.0146000000e+02
1047;	9.6260000000e+01
1048;	8.0150000000e+01
1049;	1.0783000000e+02
1050;	9.3320000000e+01
1051;	1.0276000000e+02
1052;	9.5290000000e+01
1053;	1.1739000000e+02
1054;	9.0510000000e+01
1055;	8.0950000000e+01
1056;	9.2750000000e+01
1057;	9.0600000000e+01
1058;	1.0478000000e+02
1059;	9.4680000000e+01
1060;	8.2130000000e+01
1061;	1.2276000000e+02
1062;	9.5450000000e+01
1063;	9.5640000000e+01
1064;	1.2383000000e+02
1065;	9.0640000000e+01
1066;	8.0080000000e+01
1067;	7.6160000000e+01
1068;	9.2340000000e+01
1069;	9.8100000000e+01
