Exp_N=1;	Exp_N=2;	Exp_N=10;	Exp_N=100
5.12173e-01;	1.01127e+00;	6.09719e-01;	1.01070e+00
9.72040e-01;	1.09540e+00;	1.00765e+00;	9.53884e-01
2.20080e-01;	7.51579e-01;	9.63074e-01;	9.50972e-01
4.88105e-02;	2.18572e+00;	5.66662e-01;	9.91419e-01
6.61863e-01;	3.79904e-01;	1.17581e+00;	9.54311e-01
3.55923e-02;	3.56876e-01;	1.02500e+00;	1.01935e+00
5.37420e-01;	1.52256e+00;	1.50346e+00;	9.18693e-01
4.62205e-02;	1.58395e+00;	1.51183e+00;	1.04827e+00
3.76219e-01;	5.68504e-01;	8.40724e-01;	1.03452e+00
5.94526e-01;	2.42518e-01;	9.00204e-01;	1.01851e+00
3.77103e+00;	8.14219e-01;	7.52865e-01;	9.49808e-01
1.04512e-01;	4.38723e-01;	1.08381e+00;	1.03783e+00
1.63072e-01;	1.12062e+00;	8.34399e-01;	9.47368e-01
1.59956e+00;	7.06539e-01;	4.22747e-01;	1.02622e+00
4.13017e-01;	5.44856e-01;	1.11711e+00;	9.68405e-01
7.04474e-01;	2.09302e+00;	7.21490e-01;	1.03363e+00
1.54648e+00;	1.22670e+00;	6.51912e-01;	8.55878e-01
3.05482e-02;	2.63814e+00;	5.77045e-01;	1.16625e+00
4.90473e-01;	2.74895e-01;	6.34143e-01;	8.83595e-01
1.02620e+00;	9.53226e-01;	6.84409e-01;	1.18140e+00
1.02405e-01;	4.24017e-01;	7.17293e-01;	1.00545e+00
1.77889e+00;	1.58098e-01;	1.08319e+00;	1.06300e+00
6.42892e-01;	6.56601e-01;	6.93514e-01;	1.02026e+00
1.61240e-02;	6.08913e-01;	8.85173e-01;	1.22147e+00
1.26978e+00;	1.08005e+00;	1.38554e+00;	1.08712e+00
5.01819e-01;	7.20352e-01;	9.49834e-01;	1.14166e+00
9.37282e-01;	8.97998e-01;	8.94520e-01;	1.18651e+00
7.92902e-01;	3.35494e-01;	8.51347e-01;	1.06330e+00
3.50954e-02;	3.42478e-01;	5.30655e-01;	1.09282e+00
3.93181e+00;	1.52046e+00;	1.09206e+00;	9.55005e-01
2.10062e-01;	1.04831e+00;	6.89654e-01;	9.50244e-01
3.94415e-01;	4.01102e-01;	7.98706e-01;	1.13398e+00
4.61363e-01;	6.34048e-01;	9.54625e-01;	8.12480e-01
4.95653e-01;	1.93812e+00;	7.79608e-01;	1.07967e+00
1.69520e+00;	1.42515e+00;	1.14383e+00;	1.15988e+00
1.33607e+00;	3.36943e-01;	1.73766e+00;	1.09539e+00
1.40880e+00;	1.98253e+00;	7.49111e-01;	1.13503e+00
5.53771e-02;	4.86973e-01;	9.28991e-01;	9.28140e-01
2.09709e+00;	7.35235e-01;	5.49707e-01;	1.09127e+00
7.62240e-01;	1.17867e+00;	6.55597e-01;	9.21068e-01
5.65204e-01;	5.58514e-01;	7.74549e-01;	1.01667e+00
1.64365e-02;	1.57780e+00;	4.18770e-01;	9.32107e-01
1.34806e-01;	8.22846e-01;	5.77505e-01;	8.60161e-01
1.09688e+00;	8.12347e-01;	8.97870e-01;	8.36907e-01
1.28895e+00;	1.43154e+00;	9.70843e-01;	9.78101e-01
3.04471e-01;	2.03439e+00;	7.57595e-01;	7.99623e-01
6.03119e-01;	4.68197e-01;	1.30381e+00;	9.19401e-01
3.97543e-01;	1.53300e-01;	1.26733e+00;	1.05003e+00
1.98744e-01;	3.26949e-01;	8.46443e-01;	9.05559e-01
3.10837e-02;	1.77051e-01;	1.34666e+00;	8.88445e-01
2.11720e+00;	8.65073e-02;	1.08538e+00;	9.38539e-01
6.06798e-01;	4.40450e-01;	9.67744e-01;	9.34056e-01
7.14882e-01;	3.85733e-01;	4.63497e-01;	1.08668e+00
6.52569e-01;	2.11499e-01;	9.57846e-01;	1.08718e+00
8.08777e-01;	2.38843e+00;	1.19886e+00;	8.40977e-01
8.79638e-02;	1.39779e-01;	8.53189e-01;	1.01388e+00
9.89575e-01;	2.73968e+00;	1.00027e+00;	8.31662e-01
9.38730e-01;	1.73821e-01;	1.18836e+00;	9.20864e-01
5.53373e-01;	1.96859e+00;	9.96493e-01;	9.01135e-01
7.97799e-01;	5.33508e-01;	8.09778e-01;	1.23464e+00
2.30473e+00;	3.41203e+00;	3.52607e-01;	9.59247e-01
1.97985e+00;	1.11186e+00;	5.84215e-01;	9.37322e-01
4.61281e-01;	9.76398e-01;	1.06485e+00;	9.98076e-01
4.72613e+00;	6.87810e-01;	8.38452e-01;	1.07929e+00
1.47617e+00;	9.54520e-01;	9.11549e-01;	9.87783e-01
8.52129e-01;	1.80262e+00;	8.73356e-01;	9.49155e-01
7.83907e-02;	5.24177e-01;	1.43136e+00;	8.84352e-01
6.51774e-01;	1.26967e+00;	9.16636e-01;	1.03199e+00
9.58950e-01;	5.26286e-01;	1.12515e+00;	1.12299e+00
3.92848e-01;	2.15216e+00;	1.12690e+00;	1.00039e+00
1.57278e+00;	8.17459e-02;	1.05020e+00;	1.00638e+00
4.86987e+00;	4.37928e-01;	1.07971e+00;	1.05653e+00
8.55267e-01;	1.58585e+00;	1.39309e+00;	9.70638e-01
4.19512e-01;	1.00240e+00;	9.30782e-01;	9.54234e-01
5.95867e-01;	2.10714e-01;	7.72599e-01;	1.10317e+00
3.04382e-01;	4.50571e-01;	1.17536e+00;	1.02139e+00
1.52962e-01;	5.52464e-01;	1.14373e+00;	1.03948e+00
1.10856e-01;	1.33909e-01;	1.29516e+00;	8.10290e-01
4.18284e-01;	1.81635e+00;	1.28355e+00;	1.04856e+00
2.25962e-01;	1.20136e+00;	1.33592e+00;	1.26981e+00
4.72594e-01;	2.87023e-01;	9.15558e-01;	1.01302e+00
1.58094e-01;	3.55120e-01;	6.29855e-01;	1.05316e+00
1.74866e+00;	3.44274e-01;	1.22094e+00;	9.77023e-01
4.03074e-01;	1.01694e+00;	1.29068e+00;	9.16332e-01
1.10018e-01;	1.77402e-01;	1.08786e+00;	9.65995e-01
2.62302e-01;	3.93038e+00;	9.19046e-01;	1.02285e+00
2.47665e+00;	6.28889e-01;	6.49714e-01;	1.03753e+00
1.13246e+00;	5.10001e-01;	1.29500e+00;	8.53012e-01
1.82878e+00;	4.65208e-01;	9.80574e-01;	9.04853e-01
3.34935e-01;	5.36836e-01;	8.01231e-01;	1.15285e+00
7.75140e-01;	4.73958e-01;	3.72585e-01;	1.06749e+00
5.70480e-01;	5.40217e-01;	7.52677e-01;	9.94632e-01
1.43916e-01;	8.14268e-01;	8.60264e-01;	9.83249e-01
9.30240e-02;	4.19012e-01;	9.00096e-01;	1.10815e+00
7.45547e-02;	9.68719e-02;	5.56049e-01;	9.95291e-01
2.86121e+00;	7.97209e-01;	1.45904e+00;	1.07063e+00
6.33491e-01;	1.13557e+00;	1.03237e+00;	1.00411e+00
2.77168e-01;	1.21405e+00;	1.09111e+00;	1.10910e+00
1.29245e+00;	2.09213e-01;	1.12300e+00;	1.10682e+00
2.62299e+00;	1.62790e+00;	1.00093e+00;	9.72070e-01
2.83104e+00;	1.71088e+00;	1.13443e+00;	9.96047e-01
6.38676e-01;	2.13910e+00;	1.13234e+00;	1.15701e+00
3.69069e-02;	1.83688e+00;	9.91311e-01;	1.17755e+00
6.91688e-01;	8.42732e-02;	1.28949e+00;	1.24854e+00
5.74539e-02;	3.59514e-01;	1.27384e+00;	1.12582e+00
3.81702e-01;	4.68092e-01;	1.78483e+00;	9.85521e-01
1.81213e-02;	2.50863e+00;	7.73404e-01;	9.48607e-01
9.85109e-02;	6.32005e-01;	1.79109e+00;	9.49375e-01
1.11080e+00;	2.43819e+00;	1.06172e+00;	9.95111e-01
6.94832e-01;	2.17980e+00;	1.44964e+00;	1.07429e+00
1.44825e-01;	5.06216e-01;	7.09103e-01;	1.00587e+00
1.21464e+00;	2.40706e-01;	7.77024e-01;	9.85382e-01
1.65115e-01;	2.09863e+00;	8.69517e-01;	1.10235e+00
9.95852e-02;	8.15189e-01;	6.99087e-01;	8.28952e-01
3.10193e+00;	1.56784e-01;	1.57870e+00;	9.64489e-01
1.16898e+00;	5.46370e-01;	7.70432e-01;	1.17029e+00
4.03801e-01;	5.93564e-01;	1.13143e+00;	8.77678e-01
9.90618e-01;	6.03643e-01;	1.30461e+00;	1.17963e+00
1.30971e+00;	4.11301e-01;	9.70918e-01;	9.43091e-01
1.86018e+00;	9.00845e-01;	9.76691e-01;	9.85834e-01
2.52291e+00;	8.76834e-01;	7.69519e-01;	8.33761e-01
8.11337e-01;	1.45208e+00;	7.59601e-01;	1.07614e+00
5.47439e+00;	1.00089e+00;	7.89962e-01;	1.18144e+00
1.45580e+00;	1.71755e-01;	8.19899e-01;	9.14031e-01
3.06485e-01;	8.83523e-01;	8.62879e-01;	9.91567e-01
8.44739e-01;	1.36962e+00;	6.78093e-01;	9.18798e-01
1.11732e-01;	4.64732e-01;	1.02363e+00;	1.20118e+00
4.00500e-02;	6.90325e-01;	8.70867e-01;	1.00167e+00
3.63875e-01;	1.06923e+00;	1.20590e+00;	1.03530e+00
2.45724e+00;	1.16815e+00;	7.78690e-01;	9.39471e-01
1.16235e-01;	1.17240e+00;	1.38342e+00;	1.04223e+00
2.36912e-02;	1.64562e+00;	1.47996e+00;	1.23526e+00
2.40895e-01;	1.55530e+00;	7.27442e-01;	9.89699e-01
5.78094e-01;	7.30106e-01;	1.11440e+00;	8.19851e-01
1.81346e-02;	1.71393e+00;	8.41833e-01;	9.32292e-01
9.96323e-01;	6.99891e-01;	9.35703e-01;	8.40175e-01
9.05270e-01;	1.32167e-01;	5.76754e-01;	1.02425e+00
4.53579e-01;	8.60720e-01;	4.64801e-01;	1.16446e+00
2.31951e+00;	2.21351e-01;	1.24723e+00;	1.02404e+00
5.04169e-01;	5.12616e-01;	9.36855e-01;	9.94887e-01
1.08648e+00;	1.23758e+00;	8.54483e-01;	1.10271e+00
9.96003e-01;	7.79931e-01;	1.09848e+00;	9.59280e-01
1.93580e+00;	4.62720e-01;	8.45043e-01;	9.54129e-01
2.04408e-01;	2.27674e+00;	1.20285e+00;	1.09303e+00
2.53084e+00;	3.24512e-01;	1.32120e+00;	8.66084e-01
1.80655e+00;	8.30448e-01;	7.07391e-01;	9.85615e-01
1.93821e-01;	8.70282e-01;	1.02454e+00;	9.63114e-01
5.71386e-01;	1.33263e+00;	7.62843e-01;	1.03714e+00
6.89101e-01;	1.37138e+00;	6.35061e-01;	1.06354e+00
6.63564e-02;	7.74716e-01;	7.71837e-01;	1.08420e+00
7.09484e-01;	8.88445e-01;	7.94587e-01;	9.93822e-01
2.15043e+00;	1.05794e-01;	8.75154e-01;	1.11609e+00
2.41164e-01;	1.73507e+00;	1.08718e+00;	1.18837e+00
8.60647e-01;	1.80555e+00;	6.17457e-01;	9.19584e-01
1.27749e+00;	2.29793e-01;	9.17379e-01;	9.36950e-01
1.11002e-01;	7.14168e-01;	1.12220e+00;	1.14097e+00
8.81236e-02;	7.71234e-01;	1.27779e+00;	9.75886e-01
3.11060e-01;	1.21137e+00;	4.87388e-01;	9.82494e-01
1.46101e-01;	5.45245e-01;	6.53736e-01;	1.02831e+00
1.44416e-01;	2.62339e-01;	7.87005e-01;	9.54249e-01
8.18087e-01;	9.15124e-01;	1.54695e+00;	1.03635e+00
2.70468e+00;	1.45817e+00;	7.66143e-01;	9.74349e-01
2.36555e+00;	8.52135e-01;	6.26889e-01;	1.02888e+00
8.33582e-02;	4.19161e+00;	1.12087e+00;	9.74710e-01
1.25164e-01;	1.83835e+00;	1.15238e+00;	9.20835e-01
6.71753e-01;	1.55344e+00;	7.35647e-01;	1.09352e+00
7.70828e-02;	2.28734e+00;	7.46637e-01;	8.82812e-01
8.02573e-01;	1.30918e+00;	5.16400e-01;	6.75693e-01
1.02813e+00;	7.22765e-01;	1.32261e+00;	1.17314e+00
1.64145e-02;	6.07045e-01;	1.69624e+00;	9.06975e-01
5.79263e-01;	8.07728e-01;	1.24525e+00;	1.01910e+00
4.38596e-01;	5.12465e-01;	6.91678e-01;	9.22024e-01
6.29348e-01;	7.35402e-01;	9.06266e-01;	1.02814e+00
7.53224e-01;	1.77936e+00;	5.14947e-01;	1.04098e+00
6.80665e-02;	8.22692e-01;	5.90811e-01;	9.27231e-01
1.16429e-01;	5.67364e-01;	1.03493e+00;	7.48557e-01
4.31642e-01;	1.45742e+00;	8.12397e-01;	1.00400e+00
1.61705e-01;	1.79002e+00;	8.27666e-01;	9.69876e-01
3.94619e-01;	1.19407e+00;	1.11702e+00;	1.06612e+00
3.49266e-02;	9.03436e-01;	1.65661e+00;	8.73172e-01
5.71117e-01;	1.60284e+00;	1.10354e+00;	8.49527e-01
3.39589e-01;	1.54421e+00;	1.02945e+00;	1.00934e+00
2.70982e+00;	1.99120e+00;	6.99181e-01;	1.12166e+00
2.60061e-01;	1.51112e+00;	7.57261e-01;	1.26551e+00
2.23514e-01;	5.92177e-01;	9.30362e-01;	1.15215e+00
2.54878e+00;	6.14062e-01;	6.32963e-01;	1.03036e+00
1.13768e+00;	5.83284e-01;	6.35777e-01;	9.49936e-01
7.54354e-01;	9.72832e-01;	4.62779e-01;	1.03416e+00
7.83108e-01;	3.63704e-01;	1.02753e+00;	9.76483e-01
1.96763e-01;	1.92200e+00;	8.89513e-01;	9.42784e-01
1.02907e+00;	9.72881e-01;	8.90177e-01;	8.93091e-01
1.74520e+00;	1.53841e+00;	7.58156e-01;	8.86103e-01
6.48024e-01;	5.99065e-01;	1.38377e+00;	8.34298e-01
6.82167e-01;	6.35578e-01;	1.28758e+00;	9.60876e-01
9.85060e-01;	1.18490e+00;	1.08782e+00;	9.11122e-01
8.31792e-02;	3.03574e-01;	8.71269e-01;	9.21024e-01
6.15821e-02;	3.57098e-01;	5.13589e-01;	9.92975e-01
6.51003e-01;	2.84166e-01;	1.28720e+00;	1.01795e+00
6.78148e-01;	1.21564e+00;	8.33823e-01;	9.66517e-01
2.83079e+00;	3.78856e-01;	1.95667e+00;	8.23377e-01
7.17387e-01;	1.17822e+00;	5.99986e-01;	1.11525e+00
4.82166e-01;	7.51835e-01;	7.52398e-01;	1.06560e+00
2.62686e-02;	2.73037e-01;	1.13073e+00;	1.11980e+00
6.70710e-01;	1.59500e+00;	1.11492e+00;	1.13008e+00
4.23335e-02;	1.16297e-01;	1.03196e+00;	1.00208e+00
6.13232e-01;	6.92899e-01;	3.52843e-01;	1.12483e+00
2.21124e+00;	7.17644e-01;	1.51807e+00;	8.88467e-01
6.25098e-01;	4.36072e-01;	9.23663e-01;	8.42471e-01
8.13764e-01;	1.58522e+00;	9.27348e-01;	1.05780e+00
4.51653e-01;	6.92582e-01;	1.22598e+00;	9.57362e-01
1.89053e-01;	3.46460e-01;	6.42148e-01;	9.64405e-01
3.36961e-01;	6.79741e-01;	1.09555e+00;	1.26578e+00
1.00855e+00;	5.67517e-01;	7.36444e-01;	9.39375e-01
1.18695e+00;	9.09405e-02;	1.29071e+00;	1.06435e+00
1.75863e+00;	9.12997e-01;	6.36997e-01;	1.15606e+00
1.09765e+00;	1.14617e+00;	6.52385e-01;	8.67119e-01
1.77804e-01;	8.85452e-01;	7.99664e-01;	9.00839e-01
4.73004e-01;	3.30062e-01;	6.25541e-01;	1.10862e+00
3.34114e-02;	1.55904e-01;	5.59218e-01;	1.08405e+00
1.37232e-01;	1.13349e-01;	1.28923e+00;	9.06932e-01
1.73578e+00;	1.33368e+00;	4.99284e-01;	9.69137e-01
4.31442e-01;	2.71084e+00;	1.86601e+00;	8.78671e-01
1.44474e+00;	1.44776e+00;	8.36168e-01;	1.02730e+00
1.53829e+00;	1.02251e+00;	8.61877e-01;	9.80358e-01
2.05423e+00;	5.65994e-01;	1.67780e+00;	1.00045e+00
3.92011e-01;	8.08246e-01;	4.37605e-01;	9.28551e-01
2.08239e+00;	3.36768e-01;	4.56162e-01;	9.92060e-01
2.02530e-01;	6.83427e-01;	8.10116e-01;	1.06916e+00
1.04812e+00;	1.30639e+00;	5.19502e-01;	1.03295e+00
5.14767e-01;	1.30358e+00;	9.13464e-01;	1.09923e+00
1.84631e-01;	2.19194e+00;	1.18571e+00;	9.96293e-01
1.39268e+00;	2.26380e+00;	1.42999e+00;	9.27938e-01
4.28244e-01;	1.23728e+00;	1.01036e+00;	1.04621e+00
7.39255e-01;	5.28372e-01;	1.14510e+00;	8.82063e-01
5.10166e-01;	5.23167e-01;	7.20095e-01;	7.62719e-01
6.69559e-01;	9.38169e-01;	1.12664e+00;	9.63902e-01
2.95753e-01;	7.47532e-01;	9.54852e-01;	1.11120e+00
1.62948e+00;	6.06857e-01;	9.16952e-01;	9.69101e-01
5.58417e-01;	3.56558e-01;	5.79144e-01;	9.34428e-01
3.02734e-01;	1.01365e+00;	1.62724e+00;	9.66950e-01
1.94755e+00;	6.16600e-01;	1.63892e+00;	8.97889e-01
2.61271e-01;	1.74434e+00;	1.38848e+00;	1.00397e+00
1.12413e+00;	6.35692e-01;	6.65903e-01;	1.03498e+00
1.67881e+00;	2.88400e+00;	1.29951e+00;	9.70257e-01
1.71866e+00;	5.06276e-01;	8.52820e-01;	9.11572e-01
4.82505e-01;	3.72570e+00;	7.31103e-01;	1.08313e+00
2.86546e-01;	1.57452e+00;	8.51370e-01;	1.12959e+00
2.18426e+00;	2.61686e-01;	7.58972e-01;	8.58748e-01
2.11274e-01;	3.39042e-01;	1.70385e+00;	8.29440e-01
1.47732e-01;	1.01331e+00;	7.19402e-01;	1.15867e+00
3.75041e-01;	8.63346e-01;	9.80880e-01;	1.13799e+00
5.85781e-01;	3.53004e+00;	1.14996e+00;	9.21967e-01
9.78170e-01;	4.73718e-01;	1.66391e+00;	9.33808e-01
2.40229e+00;	8.88005e-01;	7.27418e-01;	9.88677e-01
2.26939e-02;	8.94459e-01;	1.18752e+00;	9.07833e-01
1.14841e+00;	8.69935e-01;	5.51841e-01;	1.00204e+00
1.56353e+00;	3.51013e-01;	1.07372e+00;	9.15778e-01
3.25201e-03;	6.44190e-01;	2.02632e+00;	9.65312e-01
4.53080e-01;	1.00620e+00;	9.75030e-01;	1.10990e+00
5.93740e-01;	2.41432e-01;	1.19535e+00;	1.07821e+00
1.24737e-01;	6.76834e-01;	6.15193e-01;	1.04758e+00
2.43184e-01;	1.84915e+00;	6.94711e-01;	1.17877e+00
2.27043e+00;	6.07978e-01;	4.57802e-01;	9.05380e-01
1.65184e+00;	4.78726e-01;	5.18366e-01;	1.03995e+00
2.34276e+00;	1.48962e+00;	1.02333e+00;	8.83043e-01
1.24593e+00;	3.01104e-01;	5.75821e-01;	1.02129e+00
5.86945e-01;	5.93006e-01;	9.65625e-01;	9.55717e-01
7.36598e-01;	2.76027e-01;	7.75044e-01;	1.04087e+00
2.24813e+00;	4.70107e-01;	6.50053e-01;	9.95836e-01
6.82614e-01;	4.59200e-01;	9.84640e-01;	1.11928e+00
7.79560e-01;	2.73123e-01;	1.18935e+00;	1.04357e+00
1.31507e-01;	1.56867e+00;	1.61187e+00;	1.26437e+00
1.09843e-01;	8.23479e-01;	7.07110e-01;	1.16938e+00
2.96794e+00;	9.00197e-01;	1.54227e+00;	1.05280e+00
7.07077e-01;	4.31731e-01;	1.50100e+00;	9.21891e-01
3.04048e-01;	7.21184e-01;	8.52811e-01;	9.98311e-01
3.27972e+00;	7.00993e-01;	1.24624e+00;	1.15494e+00
4.14778e+00;	9.17354e-01;	9.72215e-01;	8.70160e-01
1.28749e+00;	1.42779e+00;	7.68883e-01;	1.02954e+00
4.78303e-01;	7.90173e-01;	9.92481e-01;	9.15496e-01
6.74236e-01;	6.62531e-01;	1.21236e+00;	1.11769e+00
5.09097e-01;	5.24180e-01;	1.39572e+00;	9.70807e-01
9.07942e-01;	6.84950e-01;	8.41677e-01;	9.93903e-01
2.12992e+00;	3.95179e-01;	7.55476e-01;	8.95234e-01
9.89121e-01;	1.07672e+00;	7.42613e-01;	1.15249e+00
1.27212e-01;	3.20954e+00;	8.93302e-01;	8.27553e-01
2.67763e+00;	9.39769e-01;	5.97172e-01;	8.53575e-01
1.16391e+00;	3.11554e-01;	5.72430e-01;	1.13071e+00
2.94679e-01;	1.00107e-01;	1.22210e+00;	9.26387e-01
2.81731e+00;	8.20542e-01;	1.06091e+00;	1.03327e+00
1.15967e+00;	1.04442e+00;	1.30792e+00;	9.86130e-01
1.41462e+00;	1.69454e+00;	7.52167e-01;	1.09590e+00
1.14276e+00;	8.49834e-01;	1.88064e+00;	1.08140e+00
2.62005e+00;	3.38092e-01;	1.26856e+00;	1.09940e+00
3.45362e-01;	1.83742e+00;	5.94133e-01;	1.10340e+00
2.75091e-01;	1.62587e-01;	1.13372e+00;	1.01328e+00
1.51884e-01;	3.41830e-01;	8.78465e-01;	1.04387e+00
9.46603e-01;	1.04770e+00;	9.77402e-01;	9.27457e-01
6.79094e-01;	1.34743e+00;	1.04931e+00;	9.79729e-01
5.76473e+00;	6.87724e-01;	8.81932e-01;	8.62487e-01
4.29653e-01;	7.91971e-01;	1.18927e+00;	8.95967e-01
2.91724e+00;	3.58955e-01;	5.13028e-01;	1.06400e+00
3.44724e-02;	1.72594e-01;	1.09045e+00;	9.58410e-01
3.23142e+00;	2.75542e-01;	1.11474e+00;	1.06405e+00
8.72155e-01;	3.62498e-01;	9.82595e-01;	8.91562e-01
4.15266e-01;	5.86453e-01;	1.18917e+00;	8.98041e-01
1.77002e+00;	2.00987e+00;	1.20714e+00;	1.07132e+00
2.37705e-01;	7.87056e-01;	8.82273e-01;	9.94772e-01
1.35930e+00;	2.86569e+00;	1.23534e+00;	7.93113e-01
3.16959e-01;	7.94889e-01;	9.88922e-01;	1.06818e+00
9.44015e-01;	9.62927e-01;	6.00611e-01;	9.78043e-01
1.06242e+00;	1.44584e+00;	7.47493e-01;	1.15446e+00
2.60459e-02;	5.27471e-01;	6.59913e-01;	1.16717e+00
4.29524e-01;	1.46714e+00;	8.84463e-01;	1.10447e+00
1.18415e+00;	1.83220e-01;	9.05170e-01;	1.05013e+00
8.43446e-02;	2.80276e+00;	8.64648e-01;	1.11504e+00
1.92980e-01;	1.15579e+00;	1.02765e+00;	8.17205e-01
6.17670e-01;	4.16035e-01;	9.31865e-01;	9.01247e-01
6.68838e-01;	2.10738e-01;	1.58793e+00;	9.64163e-01
8.23909e-01;	1.44066e+00;	1.07593e+00;	1.04125e+00
7.50572e-02;	1.31851e+00;	1.92160e+00;	1.04648e+00
5.17279e+00;	9.06198e-01;	1.22285e+00;	1.16289e+00
1.87587e+00;	9.44667e-01;	1.19263e+00;	7.65008e-01
3.28898e+00;	2.65002e-01;	8.79752e-01;	9.43087e-01
1.94235e+00;	1.85658e+00;	1.28170e+00;	1.05705e+00
3.34338e+00;	2.69807e+00;	6.23260e-01;	1.09627e+00
4.25136e-01;	5.58928e-01;	7.68971e-01;	1.13034e+00
1.38984e+00;	7.66426e-01;	1.10578e+00;	8.73004e-01
1.05682e+00;	5.29955e-01;	1.27441e+00;	9.54921e-01
4.01214e-01;	2.82750e-01;	1.01656e+00;	9.59912e-01
1.57051e-01;	4.14820e-01;	6.85636e-01;	1.13464e+00
1.55626e+00;	4.37132e-01;	1.26453e+00;	1.11642e+00
1.35263e-02;	5.55966e-01;	1.75202e+00;	1.14555e+00
7.46489e-01;	5.69594e-01;	1.28219e+00;	1.11129e+00
2.30092e-01;	8.97254e-01;	1.22905e+00;	1.04751e+00
1.29943e+00;	1.67007e-01;	8.37320e-01;	1.04410e+00
6.53759e-01;	2.79689e+00;	9.94262e-01;	1.06532e+00
1.81318e-01;	2.51498e+00;	1.49673e+00;	9.67808e-01
4.00033e-01;	1.27979e+00;	1.11353e+00;	1.29971e+00
1.58732e+00;	1.52726e+00;	1.53564e+00;	9.48907e-01
6.28470e-01;	1.54436e+00;	1.30570e+00;	1.06162e+00
7.68428e-01;	7.41378e-01;	1.60358e+00;	9.95806e-01
9.10471e-01;	8.21098e-01;	7.70980e-01;	1.04742e+00
1.62828e+00;	1.04132e+00;	9.05811e-01;	1.03463e+00
6.36371e-01;	1.63694e+00;	7.77094e-01;	9.13162e-01
8.13257e-01;	3.65360e-01;	8.78909e-01;	8.21390e-01
4.14506e-01;	8.45225e-01;	1.15079e+00;	8.96307e-01
2.81150e-01;	1.08348e+00;	7.26043e-01;	1.05319e+00
1.33075e-01;	6.38176e-01;	7.99718e-01;	1.14802e+00
1.32492e+00;	5.16687e-01;	1.19894e+00;	9.11272e-01
7.89171e-01;	1.68473e-01;	1.09880e+00;	9.65604e-01
4.06206e-01;	1.46265e+00;	6.22789e-01;	9.96100e-01
1.24996e+00;	5.25232e-01;	7.08186e-01;	1.09319e+00
1.36678e+00;	3.64288e-01;	8.09817e-01;	1.16345e+00
8.02668e-01;	1.05307e+00;	1.36348e+00;	9.07581e-01
2.69362e-01;	1.64661e+00;	3.96765e-01;	8.77778e-01
1.25265e+00;	1.54090e+00;	6.92126e-01;	1.15023e+00
1.69964e+00;	1.49292e-01;	6.71938e-01;	1.00638e+00
9.58343e-01;	6.14324e-01;	1.01990e+00;	9.21631e-01
1.27427e+00;	3.38875e-01;	8.40846e-01;	1.11466e+00
2.34683e+00;	1.21668e+00;	7.46706e-01;	8.36168e-01
4.94133e-01;	2.05043e+00;	1.15596e+00;	1.04394e+00
8.85122e-01;	1.91669e+00;	8.89609e-01;	1.02451e+00
