Uniform_N=1;	Uniform_N=2;	Uniform_N=10;	Uniform_N=100
6.66088e-01;	5.19750e-01;	5.13678e-01;	4.70988e-01
7.24441e-01;	6.22871e-01;	5.21899e-01;	4.87922e-01
2.62486e-01;	8.57984e-01;	4.02453e-01;	4.41360e-01
4.52897e-01;	3.67549e-01;	4.84325e-01;	4.92278e-01
3.28031e-01;	1.42063e-01;	5.33973e-01;	4.89907e-01
1.80240e-01;	2.68885e-01;	4.97342e-01;	4.71354e-01
3.06056e-02;	1.49473e-01;	5.92211e-01;	4.95771e-01
8.79632e-01;	8.10454e-02;	5.64504e-01;	5.02447e-01
4.54906e-01;	3.02319e-01;	4.96859e-01;	4.75116e-01
5.10750e-01;	3.19999e-01;	3.16062e-01;	5.00289e-01
4.79294e-01;	1.77799e-01;	5.66716e-01;	5.16529e-01
5.54597e-01;	5.07353e-01;	5.75330e-01;	4.50312e-01
8.42060e-02;	1.30449e-01;	4.60094e-01;	5.02325e-01
6.28265e-01;	9.12033e-01;	4.90514e-01;	4.59937e-01
6.08876e-01;	1.49346e-01;	4.73285e-01;	4.79042e-01
4.24993e-01;	6.32146e-01;	5.06406e-01;	4.67079e-01
5.49681e-01;	4.02219e-01;	4.70718e-01;	5.44131e-01
9.00214e-01;	7.85636e-01;	2.84687e-01;	4.84208e-01
8.61910e-01;	6.20898e-01;	3.64776e-01;	4.96381e-01
3.69524e-01;	4.79824e-01;	5.69312e-01;	5.00860e-01
9.91139e-01;	4.95540e-01;	4.36235e-01;	5.33374e-01
7.71490e-01;	6.12994e-01;	4.76176e-01;	4.98432e-01
5.73494e-01;	8.34962e-01;	4.98799e-01;	4.83328e-01
7.53969e-02;	3.54994e-01;	5.68997e-01;	4.74151e-01
4.78879e-01;	7.17817e-01;	4.92085e-01;	5.14206e-01
6.16705e-01;	3.73527e-01;	5.01544e-01;	5.28758e-01
3.24868e-01;	7.85137e-01;	5.11552e-01;	4.97748e-01
7.92532e-01;	7.82823e-02;	5.72149e-01;	4.97781e-01
9.92326e-01;	3.41121e-01;	4.04548e-01;	5.13573e-01
5.74830e-01;	7.81457e-01;	6.67070e-01;	4.85952e-01
3.42632e-01;	6.25806e-01;	5.29495e-01;	4.76792e-01
4.48915e-01;	1.89328e-01;	4.76146e-01;	5.20149e-01
2.62421e-01;	3.22455e-01;	5.55764e-01;	4.69017e-01
1.41838e-01;	3.58646e-01;	5.55901e-01;	5.01406e-01
1.04933e-01;	1.22911e-01;	6.03685e-01;	4.34691e-01
3.41825e-01;	5.01517e-01;	6.41938e-01;	5.36976e-01
2.02251e-01;	5.06790e-01;	5.18898e-01;	5.84930e-01
3.76617e-01;	2.49502e-01;	4.55292e-01;	4.90636e-01
1.46231e-01;	2.98383e-01;	3.92255e-01;	5.18457e-01
8.25993e-01;	2.50751e-01;	6.31492e-01;	4.83547e-01
3.31738e-01;	6.38260e-01;	6.42595e-01;	5.01621e-01
1.04182e-01;	1.54211e-01;	4.83514e-01;	5.09605e-01
2.30721e-01;	9.33468e-01;	4.78482e-01;	5.12129e-01
9.15976e-01;	4.66372e-01;	3.73573e-01;	5.17287e-01
6.77761e-01;	3.29695e-01;	5.83540e-01;	4.55164e-01
8.39390e-01;	3.62986e-01;	5.22140e-01;	4.74469e-01
2.84616e-01;	4.11860e-01;	4.60047e-01;	5.15867e-01
5.39361e-01;	3.75775e-01;	2.46304e-01;	5.20101e-01
4.34746e-01;	4.14982e-01;	4.75044e-01;	4.69164e-01
1.34039e-01;	5.45588e-01;	4.50390e-01;	4.76028e-01
8.88283e-02;	3.10774e-01;	5.06752e-01;	5.42426e-01
7.18433e-02;	9.23277e-02;	3.74549e-01;	5.10956e-01
9.42801e-01;	5.47287e-01;	5.81902e-01;	5.22475e-01
4.69264e-01;	6.12941e-01;	4.15964e-01;	4.83811e-01
2.42073e-01;	5.57983e-01;	5.49042e-01;	5.32136e-01
7.25402e-01;	1.73422e-01;	5.45364e-01;	5.31136e-01
9.27414e-01;	7.86435e-01;	5.13258e-01;	5.12817e-01
9.41048e-01;	7.34430e-01;	6.30929e-01;	5.26653e-01
4.72009e-01;	7.99026e-01;	5.80404e-01;	5.52617e-01
3.62341e-02;	7.03948e-01;	4.83940e-01;	5.46493e-01
4.99270e-01;	8.04705e-02;	5.54586e-01;	5.50359e-01
5.58346e-02;	2.66367e-01;	6.08758e-01;	5.39328e-01
3.17302e-01;	3.57265e-01;	5.48053e-01;	5.07801e-01
1.79581e-02;	8.79630e-01;	4.31346e-01;	4.99001e-01
9.38142e-02;	3.91958e-01;	6.08109e-01;	4.95832e-01
6.70706e-01;	9.12157e-01;	5.04033e-01;	4.98561e-01
5.00842e-01;	8.78964e-01;	5.45530e-01;	5.21668e-01
1.34826e-01;	3.41593e-01;	4.37243e-01;	4.98192e-01
7.03184e-01;	2.13876e-01;	4.31786e-01;	4.94970e-01
1.52204e-01;	5.69024e-01;	5.11724e-01;	5.14128e-01
9.47872e-02;	5.57037e-01;	4.47806e-01;	4.77130e-01
9.55038e-01;	1.42779e-01;	6.26403e-01;	5.02773e-01
6.89315e-01;	3.90183e-01;	4.36348e-01;	5.08045e-01
3.32223e-01;	3.82684e-01;	5.47839e-01;	4.86990e-01
6.28653e-01;	4.04254e-01;	6.46504e-01;	5.53892e-01
7.30100e-01;	2.90348e-01;	5.05599e-01;	4.82968e-01
8.44355e-01;	5.92319e-01;	4.96410e-01;	4.95454e-01
9.19774e-01;	5.81153e-01;	4.74595e-01;	4.79095e-01
5.55736e-01;	6.45554e-01;	4.14894e-01;	4.97713e-01
9.95807e-01;	5.75651e-01;	4.22966e-01;	5.41197e-01
7.66786e-01;	1.57219e-01;	4.76596e-01;	4.75651e-01
2.63970e-01;	4.30070e-01;	4.45728e-01;	4.98808e-01
5.70330e-01;	7.28303e-01;	3.86502e-01;	4.66349e-01
1.05716e-01;	3.31621e-01;	5.38639e-01;	5.66576e-01
3.92586e-02;	4.79866e-01;	5.50301e-01;	5.00723e-01
3.05022e-01;	5.70306e-01;	5.13030e-01;	5.09547e-01
9.14329e-01;	5.79922e-01;	4.57602e-01;	4.66430e-01
1.09734e-01;	4.91181e-01;	5.64051e-01;	5.08748e-01
2.34128e-02;	5.51198e-01;	6.43466e-01;	5.70534e-01
2.14076e-01;	6.77552e-01;	4.23334e-01;	5.12258e-01
4.39033e-01;	5.07940e-01;	5.74687e-01;	4.54803e-01
1.79712e-02;	6.91415e-01;	5.16035e-01;	4.67676e-01
6.30765e-01;	3.80244e-01;	4.77039e-01;	4.64009e-01
5.95567e-01;	1.23782e-01;	4.02926e-01;	5.17516e-01
3.64650e-01;	5.34220e-01;	3.58137e-01;	5.54062e-01
9.01678e-01;	1.96403e-01;	6.36647e-01;	5.34631e-01
3.95993e-01;	3.40008e-01;	4.80726e-01;	4.93896e-01
6.62596e-01;	6.10198e-01;	5.18262e-01;	5.30464e-01
6.30647e-01;	5.41526e-01;	5.20136e-01;	4.84496e-01
8.55691e-01;	3.03809e-01;	4.63570e-01;	4.89639e-01
1.84870e-01;	8.94713e-01;	5.40892e-01;	5.39601e-01
9.20408e-01;	2.56403e-01;	5.50012e-01;	4.69098e-01
8.35780e-01;	5.07801e-01;	3.98151e-01;	4.85085e-01
1.76195e-01;	5.50991e-01;	5.00018e-01;	4.93411e-01
4.35258e-01;	7.28831e-01;	4.23008e-01;	5.14403e-01
4.97973e-01;	7.34212e-01;	4.41302e-01;	5.18851e-01
6.42027e-02;	4.95116e-01;	4.47430e-01;	5.18728e-01
5.08102e-01;	5.27704e-01;	5.15354e-01;	5.06361e-01
8.83566e-01;	9.58333e-02;	5.32593e-01;	5.24074e-01
2.14288e-01;	7.77679e-01;	4.87639e-01;	5.56474e-01
5.77112e-01;	6.92299e-01;	3.81776e-01;	5.08339e-01
7.21264e-01;	2.03873e-01;	4.84070e-01;	4.99886e-01
1.05063e-01;	3.89003e-01;	4.69137e-01;	5.21552e-01
8.43523e-02;	5.21681e-01;	6.19924e-01;	5.24288e-01
2.67330e-01;	4.91412e-01;	3.48695e-01;	5.09978e-01
1.35930e-01;	3.49423e-01;	4.04579e-01;	5.19784e-01
1.34473e-01;	2.22908e-01;	4.68697e-01;	5.07303e-01
5.58725e-01;	5.45687e-01;	5.75201e-01;	4.99362e-01
9.33109e-01;	6.79529e-01;	4.62733e-01;	4.98549e-01
9.06103e-01;	5.03373e-01;	3.81182e-01;	5.09736e-01
7.99784e-02;	9.79504e-01;	4.68783e-01;	4.70399e-01
1.17648e-01;	8.40370e-01;	6.21876e-01;	4.56413e-01
4.89188e-01;	7.82334e-01;	3.51689e-01;	5.04968e-01
7.41868e-02;	8.73301e-01;	4.40999e-01;	4.93219e-01
5.51826e-01;	6.57244e-01;	3.72389e-01;	4.06546e-01
6.42324e-01;	4.73247e-01;	5.64147e-01;	5.50830e-01
1.62805e-02;	4.01000e-01;	7.09440e-01;	4.67844e-01
4.39689e-01;	5.33418e-01;	6.18210e-01;	5.11351e-01
3.55059e-01;	3.67273e-01;	4.07701e-01;	4.94278e-01
4.67061e-01;	4.93903e-01;	4.38759e-01;	5.19264e-01
5.29154e-01;	5.97115e-01;	3.73404e-01;	4.86842e-01
6.58016e-02;	5.46906e-01;	3.84083e-01;	4.85978e-01
1.09906e-01;	4.12698e-01;	5.09671e-01;	4.09819e-01
3.50558e-01;	7.65300e-01;	4.68099e-01;	4.97519e-01
1.49308e-01;	6.23403e-01;	4.94358e-01;	5.10665e-01
3.26064e-01;	5.60344e-01;	5.33620e-01;	5.13188e-01
3.43237e-02;	5.92361e-01;	6.85432e-01;	4.57618e-01
4.35106e-01;	7.98503e-01;	5.66449e-01;	4.73996e-01
2.87937e-01;	7.53953e-01;	5.43485e-01;	4.84318e-01
9.33451e-01;	5.87094e-01;	4.46591e-01;	5.31212e-01
2.28995e-01;	7.79322e-01;	4.25995e-01;	5.32766e-01
2.00296e-01;	3.54626e-01;	5.18085e-01;	5.14531e-01
9.21823e-01;	3.82992e-01;	3.71185e-01;	5.04662e-01
6.79439e-01;	3.81884e-01;	3.98026e-01;	4.84886e-01
5.29686e-01;	5.88786e-01;	3.12941e-01;	5.21399e-01
5.43016e-01;	2.98207e-01;	5.51308e-01;	4.81104e-01
1.78615e-01;	7.44305e-01;	5.21604e-01;	4.99395e-01
6.42661e-01;	4.67595e-01;	4.64094e-01;	4.30286e-01
8.25389e-01;	7.85273e-01;	4.24463e-01;	4.56205e-01
4.76921e-01;	3.66373e-01;	6.03470e-01;	4.30351e-01
4.94480e-01;	4.25396e-01;	6.05835e-01;	4.94409e-01
6.26583e-01;	6.51944e-01;	6.04659e-01;	4.79275e-01
7.98137e-02;	2.61794e-01;	5.16242e-01;	4.89306e-01
5.97243e-02;	2.71263e-01;	3.78121e-01;	5.13258e-01
4.78478e-01;	2.45045e-01;	4.97790e-01;	4.91935e-01
4.92444e-01;	5.98403e-01;	4.41740e-01;	4.93406e-01
9.41034e-01;	2.94499e-01;	6.47840e-01;	4.49489e-01
5.11974e-01;	6.80094e-01;	3.93663e-01;	5.27347e-01
3.82555e-01;	5.25982e-01;	4.54491e-01;	5.03961e-01
2.59266e-02;	2.11805e-01;	5.19595e-01;	5.16353e-01
4.88655e-01;	7.37096e-01;	5.15666e-01;	5.23054e-01
4.14500e-02;	1.06217e-01;	5.57741e-01;	5.07483e-01
4.58402e-01;	3.84758e-01;	2.54531e-01;	5.21132e-01
8.90435e-01;	4.71726e-01;	6.40353e-01;	4.57615e-01
4.64791e-01;	3.35029e-01;	4.72684e-01;	4.57785e-01
5.56813e-01;	7.71329e-01;	4.05228e-01;	5.18560e-01
3.63425e-01;	4.99482e-01;	5.34357e-01;	4.68532e-01
1.72258e-01;	2.90421e-01;	4.19828e-01;	4.89152e-01
2.86063e-01;	4.37446e-01;	5.59018e-01;	5.60882e-01
6.35254e-01;	4.26937e-01;	4.29473e-01;	4.98085e-01
6.94848e-01;	8.65746e-02;	5.84346e-01;	5.10617e-01
8.27718e-01;	5.68827e-01;	3.89728e-01;	5.39717e-01
6.66346e-01;	6.55087e-01;	3.95036e-01;	4.39361e-01
1.62894e-01;	5.02991e-01;	4.23559e-01;	4.91616e-01
3.76873e-01;	2.66198e-01;	4.10092e-01;	5.44751e-01
3.28594e-02;	1.43530e-01;	3.60589e-01;	5.25391e-01
1.28232e-01;	1.06834e-01;	5.20465e-01;	4.83625e-01
8.23737e-01;	5.21653e-01;	3.25226e-01;	5.09388e-01
3.50428e-01;	9.31017e-01;	6.96326e-01;	4.65658e-01
7.64194e-01;	7.16589e-01;	4.17773e-01;	5.13044e-01
7.85253e-01;	5.31543e-01;	4.83168e-01;	4.91919e-01
8.71809e-01;	4.00144e-01;	7.07796e-01;	4.95790e-01
3.24303e-01;	5.25688e-01;	3.21233e-01;	4.93209e-01
8.75368e-01;	2.83280e-01;	3.01561e-01;	5.07658e-01
1.83338e-01;	4.92342e-01;	4.35595e-01;	5.28302e-01
6.49403e-01;	6.81830e-01;	3.49518e-01;	5.09992e-01
4.02360e-01;	7.28441e-01;	5.10030e-01;	5.27638e-01
1.68589e-01;	8.52181e-01;	4.59926e-01;	5.13427e-01
7.51592e-01;	5.07592e-01;	5.93999e-01;	4.85004e-01
3.48348e-01;	6.80024e-01;	5.02211e-01;	4.58379e-01
5.22530e-01;	3.97420e-01;	5.03273e-01;	4.76205e-01
3.99604e-01;	4.07173e-01;	4.84940e-01;	4.48811e-01
4.88066e-01;	6.08623e-01;	5.26662e-01;	5.09567e-01
2.56028e-01;	4.82499e-01;	5.11440e-01;	5.07925e-01
8.03969e-01;	3.61736e-01;	5.24918e-01;	5.22709e-01
4.27886e-01;	2.98726e-01;	3.64051e-01;	4.61124e-01
2.61204e-01;	5.13884e-01;	5.95876e-01;	4.88455e-01
8.57377e-01;	4.22423e-01;	6.46805e-01;	4.71712e-01
2.29928e-01;	8.21502e-01;	6.07399e-01;	5.07824e-01
6.75065e-01;	4.67090e-01;	3.96560e-01;	5.08168e-01
8.13404e-01;	8.49749e-01;	5.80655e-01;	4.94890e-01
8.20694e-01;	3.36444e-01;	5.01722e-01;	4.58703e-01
3.82765e-01;	9.56041e-01;	4.68402e-01;	5.38242e-01
2.49147e-01;	6.74415e-01;	4.31818e-01;	5.11852e-01
8.87439e-01;	2.29672e-01;	4.11525e-01;	4.64868e-01
1.90448e-01;	2.53856e-01;	6.24397e-01;	4.32272e-01
1.37338e-01;	5.71160e-01;	4.01241e-01;	5.32697e-01
3.12739e-01;	5.26247e-01;	5.54603e-01;	5.47986e-01
4.43329e-01;	6.78050e-01;	4.76389e-01;	4.99769e-01
6.24001e-01;	3.30414e-01;	7.40069e-01;	4.76002e-01
9.09489e-01;	5.53354e-01;	4.65387e-01;	5.32407e-01
2.24383e-02;	4.52028e-01;	5.38325e-01;	4.91508e-01
6.82858e-01;	5.67881e-01;	3.91045e-01;	4.96992e-01
7.90604e-01;	2.82205e-01;	6.01023e-01;	4.78568e-01
3.24673e-03;	4.12245e-01;	7.35316e-01;	5.04026e-01
3.64333e-01;	6.33922e-01;	5.58665e-01;	5.18611e-01
4.47742e-01;	2.09411e-01;	5.15448e-01;	5.04759e-01
1.17271e-01;	4.02334e-01;	4.24965e-01;	5.17260e-01
2.15873e-01;	7.15952e-01;	4.37053e-01;	5.38942e-01
8.96732e-01;	4.55366e-01;	3.47521e-01;	4.65532e-01
8.08303e-01;	3.20371e-01;	3.45934e-01;	4.98938e-01
9.03938e-01;	7.56819e-01;	5.10976e-01;	4.64553e-01
7.12328e-01;	2.53642e-01;	3.87212e-01;	5.00650e-01
4.43977e-01;	4.04863e-01;	4.95262e-01;	4.94605e-01
5.21260e-01;	2.29312e-01;	3.95366e-01;	5.06570e-01
8.94404e-01;	3.44248e-01;	4.00194e-01;	5.04221e-01
4.94706e-01;	3.53705e-01;	5.26456e-01;	5.50878e-01
5.41392e-01;	2.23620e-01;	4.91767e-01;	5.25300e-01
1.23227e-01;	7.76973e-01;	5.21227e-01;	5.73078e-01
1.04025e-01;	5.42322e-01;	4.07375e-01;	5.20527e-01
9.48591e-01;	5.66050e-01;	6.47892e-01;	5.37169e-01
5.06917e-01;	3.22279e-01;	6.34118e-01;	4.73056e-01
2.62174e-01;	5.13769e-01;	4.72049e-01;	4.90951e-01
9.62361e-01;	4.16513e-01;	6.09316e-01;	5.61058e-01
9.84200e-01;	5.66378e-01;	5.63381e-01;	4.73730e-01
7.24036e-01;	6.94241e-01;	4.09652e-01;	5.00329e-01
3.80166e-01;	5.34251e-01;	5.53902e-01;	4.62449e-01
4.90454e-01;	4.82662e-01;	5.43655e-01;	5.33639e-01
3.98962e-01;	4.05185e-01;	5.91829e-01;	5.10352e-01
5.96647e-01;	4.90374e-01;	4.62869e-01;	4.99178e-01
8.81154e-01;	2.94165e-01;	4.92039e-01;	4.85553e-01
6.28096e-01;	5.34555e-01;	4.41426e-01;	5.40390e-01
1.19453e-01;	9.13199e-01;	4.20710e-01;	4.70342e-01
9.31274e-01;	5.49405e-01;	4.36958e-01;	4.46486e-01
6.87737e-01;	2.37274e-01;	3.61829e-01;	5.51469e-01
2.55229e-01;	9.52363e-02;	5.70928e-01;	4.75244e-01
9.40234e-01;	5.59066e-01;	5.75058e-01;	5.29270e-01
6.86409e-01;	6.44413e-01;	4.96097e-01;	5.13229e-01
7.56982e-01;	7.94795e-01;	4.33782e-01;	5.06420e-01
6.81062e-01;	5.40274e-01;	5.78494e-01;	5.40162e-01
9.27201e-01;	2.67972e-01;	5.79422e-01;	5.46338e-01
2.92036e-01;	8.40691e-01;	4.21449e-01;	5.26792e-01
2.40497e-01;	1.50034e-01;	5.28614e-01;	5.05725e-01
1.40912e-01;	2.73177e-01;	5.30669e-01;	5.32529e-01
6.11943e-01;	6.47627e-01;	4.32540e-01;	4.75833e-01
4.92924e-01;	6.83323e-01;	5.57889e-01;	4.96659e-01
9.96864e-01;	4.86807e-01;	4.80698e-01;	4.62245e-01
3.49265e-01;	4.95953e-01;	5.36666e-01;	4.91998e-01
9.45917e-01;	2.89196e-01;	3.09189e-01;	5.06820e-01
3.38850e-02;	1.51139e-01;	5.82955e-01;	4.92832e-01
9.60499e-01;	2.27465e-01;	4.95783e-01;	5.24575e-01
5.81950e-01;	2.87191e-01;	4.91736e-01;	4.76991e-01
3.39835e-01;	4.36504e-01;	5.98603e-01;	4.66596e-01
8.29670e-01;	8.21885e-01;	4.75393e-01;	5.24333e-01
2.11564e-01;	5.42069e-01;	4.57424e-01;	4.95975e-01
7.43158e-01;	7.39324e-01;	4.50900e-01;	4.64302e-01
2.71639e-01;	5.30668e-01;	4.86355e-01;	5.21670e-01
6.10937e-01;	5.73356e-01;	3.65986e-01;	5.11177e-01
6.54382e-01;	7.64406e-01;	4.44862e-01;	5.68260e-01
2.57097e-02;	3.66605e-01;	4.25247e-01;	5.42484e-01
3.49181e-01;	6.85411e-01;	4.51557e-01;	5.15952e-01
6.93994e-01;	1.66590e-01;	4.34129e-01;	4.93557e-01
8.08855e-02;	9.35304e-01;	4.94179e-01;	5.03841e-01
1.75502e-01;	6.14231e-01;	4.84369e-01;	4.61057e-01
4.60800e-01;	3.39199e-01;	5.10966e-01;	4.58570e-01
4.87696e-01;	1.76913e-01;	6.32891e-01;	4.90623e-01
5.61287e-01;	7.24148e-01;	5.47977e-01;	5.04210e-01
7.23095e-02;	5.02575e-01;	7.30389e-01;	5.20731e-01
9.94331e-01;	5.35167e-01;	5.85917e-01;	5.65026e-01
8.46778e-01;	6.01261e-01;	6.34100e-01;	4.49550e-01
9.62708e-01;	2.32723e-01;	5.42831e-01;	4.87325e-01
8.56634e-01;	8.42076e-01;	4.51080e-01;	5.19892e-01
9.64683e-01;	9.32138e-01;	3.49314e-01;	5.19518e-01
3.46319e-01;	4.07755e-01;	4.21384e-01;	5.32493e-01
7.50886e-01;	5.01581e-01;	5.86712e-01;	4.85173e-01
6.52440e-01;	3.54672e-01;	6.18727e-01;	4.92341e-01
3.30493e-01;	2.45956e-01;	5.43033e-01;	4.89810e-01
1.45339e-01;	3.25600e-01;	4.49011e-01;	5.30922e-01
7.89077e-01;	3.20199e-01;	5.51806e-01;	5.34092e-01
1.34352e-02;	4.25065e-01;	6.22186e-01;	5.50667e-01
5.25972e-01;	4.18488e-01;	5.18347e-01;	5.28380e-01
2.05540e-01;	5.06924e-01;	5.41005e-01;	4.97604e-01
7.27312e-01;	1.53287e-01;	3.85059e-01;	4.94788e-01
4.79913e-01;	7.55362e-01;	5.34171e-01;	5.36521e-01
1.65830e-01;	5.33074e-01;	6.83247e-01;	4.96298e-01
3.29702e-01;	7.21803e-01;	5.29204e-01;	5.47601e-01
7.95527e-01;	6.63871e-01;	6.15592e-01;	4.99331e-01
4.66593e-01;	7.73004e-01;	5.43515e-01;	4.98483e-01
5.36258e-01;	5.23514e-01;	6.43122e-01;	5.03714e-01
5.97665e-01;	5.55400e-01;	5.08886e-01;	5.09947e-01
8.03734e-01;	5.29268e-01;	4.73356e-01;	5.24170e-01
4.70790e-01;	7.95157e-01;	4.30215e-01;	4.62846e-01
5.56588e-01;	3.04942e-01;	4.60058e-01;	4.39607e-01
3.39333e-01;	4.31471e-01;	6.02189e-01;	4.67576e-01
2.45085e-01;	6.60927e-01;	3.48176e-01;	5.19462e-01
1.24600e-01;	4.21219e-01;	4.23856e-01;	5.32677e-01
7.34176e-01;	3.97824e-01;	5.58301e-01;	4.72841e-01
5.45779e-01;	1.46397e-01;	5.25979e-01;	4.98520e-01
3.33827e-01;	7.68352e-01;	3.96255e-01;	5.06072e-01
7.13482e-01;	3.34514e-01;	4.45681e-01;	5.13603e-01
7.45074e-01;	2.91810e-01;	4.59104e-01;	5.28264e-01
5.51868e-01;	6.07037e-01;	6.12935e-01;	4.67737e-01
2.36134e-01;	7.28153e-01;	2.88351e-01;	4.35606e-01
7.14253e-01;	7.57913e-01;	4.60583e-01;	5.25995e-01
8.17250e-01;	1.37982e-01;	3.89584e-01;	5.09816e-01
6.16472e-01;	4.56001e-01;	5.70659e-01;	4.95160e-01
7.20366e-01;	2.71654e-01;	4.98796e-01;	5.31116e-01
9.04328e-01;	5.26837e-01;	4.14643e-01;	4.45357e-01
3.89901e-01;	8.62134e-01;	5.92130e-01;	4.84087e-01
